Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Liverpool 015C,L42SZ,L42S
England,Liverpool 019B,L42SB,L42S
England,Liverpool 019A,L42SY,L42S
England,Liverpool 019A,L42SR,L42S
England,Liverpool 019A,L42SN,L42S
England,Liverpool 018A,L42SL,L42S
England,Liverpool 019A,L42SU,L42S
England,Liverpool 019A,L42SX,L42S
England,Liverpool 018A,L42SP,L42S
England,Liverpool 015C,L42SW,L42S
England,Liverpool 019B,L42SD,L42S
England,Liverpool 019C,L42SA,L42S
England,Liverpool 019A,L42SH,L42S
England,Liverpool 019A,L42SE,L42S
England,Liverpool 015C,L42SS,L42S
England,Liverpool 019A,L42ST,L42S
England,Liverpool 019A,L42SG,L42S
England,Liverpool 019A,L42SJ,L42S
