Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Liverpool 012E,L43RG,L43R
England,Liverpool 012E,L43RP,L43R
England,Liverpool 012D,L43RX,L43R
England,Liverpool 012E,L43RR,L43R
England,Liverpool 012E,L43RJ,L43R
England,Liverpool 012E,L43RD,L43R
England,Liverpool 012E,L43RE,L43R
England,Liverpool 012D,L43RN,L43R
England,Liverpool 012D,L43RZ,L43R
England,Liverpool 012D,L43RU,L43R
England,Liverpool 012E,L43RH,L43R
England,Liverpool 012E,L43RA,L43R
England,Liverpool 012D,L43RT,L43R
England,Liverpool 012D,L43RB,L43R
England,Liverpool 012D,L43RW,L43R
England,Liverpool 012E,L43RS,L43R
England,Liverpool 012E,L43RF,L43R
England,Liverpool 012D,L43RL,L43R
England,Liverpool 012D,L43RY,L43R
England,Liverpool 012E,L43RQ,L43R
