Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Liverpool 022E,L44PP,L44P
England,Liverpool 014B,L44PW,L44P
England,Liverpool 012E,L44PN,L44P
England,Liverpool 022E,L44PR,L44P
England,Liverpool 014D,L44PZ,L44P
England,Liverpool 014D,L44PX,L44P
England,Liverpool 014D,L44PU,L44P
England,Liverpool 014B,L44PE,L44P
England,Liverpool 014D,L44PH,L44P
England,Liverpool 014D,L44PJ,L44P
England,Liverpool 014B,L44PG,L44P
England,Liverpool 014B,L44PD,L44P
England,Liverpool 022E,L44PS,L44P
England,Liverpool 014D,L44PY,L44P
England,Liverpool 022E,L44PT,L44P
