Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Liverpool 015A,L47XW,L47X
England,Liverpool 015B,L47XA,L47X
England,Liverpool 015A,L47XT,L47X
England,Liverpool 015A,L47XG,L47X
England,Liverpool 015B,L47XN,L47X
England,Liverpool 015A,L47XJ,L47X
England,Liverpool 015A,L47XE,L47X
England,Liverpool 015B,L47XL,L47X
England,Liverpool 015A,L47XR,L47X
England,Liverpool 015A,L47XP,L47X
England,Liverpool 015B,L47XH,L47X
England,Liverpool 015A,L47XB,L47X
England,Liverpool 015A,L47XS,L47X
England,Liverpool 015A,L47XF,L47X
England,Liverpool 015A,L47XD,L47X
England,Liverpool 015B,L47XQ,L47X
