Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Liverpool 019C,L60AB,L60A
England,Liverpool 019E,L60AT,L60A
England,Liverpool 019E,L60AY,L60A
England,Liverpool 019D,L60AP,L60A
England,Liverpool 019F,L60AG,L60A
England,Liverpool 019D,L60AA,L60A
England,Liverpool 019E,L60AQ,L60A
England,Liverpool 019D,L60AL,L60A
England,Liverpool 015E,L60AZ,L60A
England,Liverpool 019D,L60AE,L60A
England,Liverpool 019D,L60AJ,L60A
England,Liverpool 019D,L60AW,L60A
England,Liverpool 019D,L60AR,L60A
England,Liverpool 019C,L60AF,L60A
England,Liverpool 019C,L60AH,L60A
England,Liverpool 019D,L60AN,L60A
England,Liverpool 019E,L60AX,L60A
England,Liverpool 019E,L60AU,L60A
England,Liverpool 019E,L60AS,L60A
