Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Liverpool 028D,L68NZ,L68N
England,Liverpool 028D,L68NH,L68N
England,Liverpool 028C,L68ND,L68N
England,Liverpool 028C,L68NR,L68N
England,Liverpool 028D,L68NU,L68N
England,Liverpool 028D,L68NS,L68N
England,Liverpool 028D,L68NJ,L68N
England,Liverpool 028D,L68NW,L68N
England,Liverpool 028C,L68NQ,L68N
England,Liverpool 028D,L68NA,L68N
England,Liverpool 028D,L68NL,L68N
England,Liverpool 028C,L68NG,L68N
England,Liverpool 028C,L68NF,L68N
England,Liverpool 028D,L68NT,L68N
England,Liverpool 028C,L68NB,L68N
England,Liverpool 028D,L68NX,L68N
England,Liverpool 028D,L68NE,L68N
England,Liverpool 028C,L68NP,L68N
England,Liverpool 028C,L68NN,L68N
England,Liverpool 028C,L68NY,L68N
