Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Liverpool 028B,L70JF,L70J
England,Liverpool 028B,L70JP,L70J
England,Liverpool 028B,L70JX,L70J
England,Liverpool 028B,L70JR,L70J
England,Liverpool 028B,L70JZ,L70J
England,Liverpool 028B,L70JJ,L70J
England,Liverpool 028B,L70JN,L70J
England,Liverpool 028B,L70JH,L70J
England,Liverpool 028B,L70JQ,L70J
England,Liverpool 028B,L70JS,L70J
England,Liverpool 028B,L70JW,L70J
England,Liverpool 028A,L70JA,L70J
England,Liverpool 028B,L70JE,L70J
England,Liverpool 028B,L70JT,L70J
England,Liverpool 028B,L70JU,L70J
England,Liverpool 028B,L70JL,L70J
England,Liverpool 028B,L70JY,L70J
England,Liverpool 028B,L70JG,L70J
England,Liverpool 028B,L70JD,L70J
England,Liverpool 028B,L70JB,L70J
