Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Liverpool 039B,L80QY,L80Q
England,Liverpool 039D,L80QL,L80Q
England,Liverpool 039B,L80QG,L80Q
England,Liverpool 039A,L80QQ,L80Q
England,Liverpool 039B,L80QD,L80Q
England,Liverpool 039B,L80QX,L80Q
England,Liverpool 039B,L80QR,L80Q
England,Liverpool 039B,L80QU,L80Q
England,Liverpool 039B,L80QB,L80Q
England,Liverpool 039B,L80QZ,L80Q
England,Liverpool 039C,L80QW,L80Q
England,Liverpool 039B,L80QE,L80Q
England,Liverpool 039D,L80QH,L80Q
England,Liverpool 039C,L80QN,L80Q
England,Liverpool 039B,L80QP,L80Q
England,Liverpool 039B,L80QS,L80Q
England,Liverpool 039B,L80QT,L80Q
England,Liverpool 039A,L80QF,L80Q
