Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Liverpool 006B,L92BJ,L92B
England,Liverpool 003D,L92BU,L92B
England,Liverpool 003D,L92BR,L92B
England,Liverpool 006B,L92BD,L92B
England,Liverpool 006B,L92BQ,L92B
England,Liverpool 006B,L92BH,L92B
England,Liverpool 003D,L92BX,L92B
England,Liverpool 003D,L92BP,L92B
England,Liverpool 003D,L92BW,L92B
England,Liverpool 006B,L92BB,L92B
England,Liverpool 003D,L92BT,L92B
England,Liverpool 003D,L92BS,L92B
England,Liverpool 006B,L92BG,L92B
England,Liverpool 003D,L92BL,L92B
England,Liverpool 006B,L92BA,L92B
England,Liverpool 003D,L92BY,L92B
England,Liverpool 006A,L92BE,L92B
