Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Liverpool 001C,L99EQ,L99E
England,Liverpool 002A,L99EN,L99E
England,Liverpool 001A,L99EA,L99E
England,Liverpool 001C,L99EG,L99E
England,Liverpool 001C,L99EE,L99E
England,Liverpool 001A,L99EP,L99E
England,Liverpool 001A,L99EH,L99E
England,Liverpool 001C,L99EW,L99E
England,Liverpool 001A,L99EB,L99E
England,Liverpool 001C,L99ES,L99E
England,Liverpool 001C,L99ET,L99E
England,Liverpool 001A,L99ED,L99E
England,Liverpool 001C,L99EX,L99E
England,Liverpool 001C,L99EF,L99E
