Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Craven 001A,LA63NB,LA63
England,Craven 001D,LA63AW,LA63
England,Craven 001D,LA63NN,LA63
England,Craven 001D,LA63DW,LA63
England,Craven 001D,LA63DJ,LA63
England,Craven 001D,LA63FL,LA63
England,Craven 001D,LA63NW,LA63
England,Craven 001A,LA63LW,LA63
England,Craven 001D,LA63BX,LA63
England,Craven 001D,LA63HL,LA63
England,Craven 001D,LA63EJ,LA63
England,Craven 001D,LA63AS,LA63
England,Craven 001D,LA63HX,LA63
England,Craven 001D,LA63HG,LA63
England,Craven 001D,LA63EL,LA63
England,Craven 001D,LA63PH,LA63
England,Craven 001D,LA63HD,LA63
England,Craven 001D,LA63HT,LA63
England,Craven 001D,LA63DX,LA63
England,Craven 001D,LA63DY,LA63
England,Craven 001D,LA63HQ,LA63
England,Craven 001D,LA63HH,LA63
England,Craven 001D,LA63AD,LA63
England,Craven 001A,LA63LF,LA63
England,Craven 001A,LA63JT,LA63
England,Craven 001D,LA63AY,LA63
England,Craven 001D,LA63DZ,LA63
England,Craven 001D,LA63AP,LA63
England,Craven 001D,LA63DL,LA63
England,Craven 001D,LA63HY,LA63
England,Craven 001D,LA63FA,LA63
England,Craven 001D,LA63PL,LA63
England,Craven 001D,LA63AE,LA63
England,Craven 001D,LA63BD,LA63
England,Craven 001A,LA63NS,LA63
England,Craven 001D,LA63HW,LA63
England,Craven 001A,LA63LE,LA63
England,Craven 001D,LA63BN,LA63
England,Craven 001D,LA63DN,LA63
England,Craven 001A,LA63LG,LA63
England,Craven 001A,LA63PQ,LA63
England,Craven 001D,LA63EY,LA63
England,Craven 001D,LA63DQ,LA63
England,Craven 001A,LA63JZ,LA63
England,Craven 001D,LA63JB,LA63
England,Craven 001D,LA63PR,LA63
England,Craven 001D,LA63EA,LA63
England,Craven 001D,LA63HP,LA63
England,Craven 001D,LA63AU,LA63
England,Craven 001D,LA63DH,LA63
England,Craven 001A,LA63LQ,LA63
England,Craven 001D,LA63AQ,LA63
England,Craven 001D,LA63AA,LA63
England,Craven 001D,LA63JE,LA63
England,Craven 001A,LA63JX,LA63
England,Craven 001A,LA63NX,LA63
England,Craven 001D,LA63BS,LA63
England,Craven 001D,LA63HN,LA63
England,Craven 001D,LA63JQ,LA63
England,Craven 001D,LA63PB,LA63
England,Craven 001D,LA63DB,LA63
England,Craven 001A,LA63LB,LA63
England,Craven 001A,LA63LJ,LA63
England,Craven 001D,LA63JJ,LA63
England,Craven 001D,LA63DU,LA63
England,Craven 001D,LA63JH,LA63
England,Craven 001D,LA63AT,LA63
England,Craven 001D,LA63BQ,LA63
England,Craven 001D,LA63AN,LA63
England,Craven 001A,LA63JU,LA63
England,Craven 001D,LA63NJ,LA63
England,Craven 001A,LA63LP,LA63
England,Craven 001D,LA63BW,LA63
England,Craven 001D,LA63DR,LA63
England,Craven 001D,LA63BP,LA63
England,Craven 001A,LA63PF,LA63
England,Craven 001D,LA63AB,LA63
England,Craven 001D,LA63EU,LA63
England,Craven 001D,LA63GH,LA63
England,Craven 001D,LA63BH,LA63
England,Craven 001D,LA63JG,LA63
England,Craven 001D,LA63ED,LA63
England,Craven 001A,LA63AF,LA63
England,Craven 001D,LA63EE,LA63
England,Craven 001A,LA63NA,LA63
England,Craven 001D,LA63BL,LA63
England,Craven 001D,LA63ES,LA63
England,Craven 001D,LA63PE,LA63
England,Craven 001D,LA63BY,LA63
England,Craven 001D,LA63NZ,LA63
England,Craven 001D,LA63PA,LA63
England,Craven 001D,LA63BB,LA63
England,Craven 001D,LA63JN,LA63
England,Craven 001D,LA63NR,LA63
England,Craven 001D,LA63FJ,LA63
England,Craven 001D,LA63GJ,LA63
England,Craven 001A,LA63JY,LA63
England,Craven 001D,LA63EF,LA63
England,Craven 001D,LA63DT,LA63
England,Craven 001D,LA63DS,LA63
England,Craven 001A,LA63LY,LA63
England,Craven 001D,LA63HJ,LA63
England,Craven 001D,LA63NY,LA63
England,Craven 001D,LA63EB,LA63
England,Craven 001D,LA63FG,LA63
England,Craven 001A,LA63JR,LA63
England,Craven 001D,LA63DA,LA63
England,Craven 001D,LA63JA,LA63
England,Craven 001D,LA63EN,LA63
England,Craven 001D,LA63HB,LA63
England,Craven 001D,LA63HA,LA63
England,Craven 001D,LA63AH,LA63
England,Craven 001D,LA63HF,LA63
England,Craven 001A,LA63LU,LA63
England,Craven 001D,LA63DE,LA63
England,Craven 001A,LA63NL,LA63
England,Craven 001D,LA63HZ,LA63
England,Craven 001D,LA63FF,LA63
England,Craven 001D,LA63PJ,LA63
England,Craven 001D,LA63FH,LA63
England,Craven 001D,LA63BF,LA63
England,Craven 001D,LA63HR,LA63
England,Craven 001A,LA63LD,LA63
England,Craven 001D,LA63DF,LA63
England,Craven 001D,LA63AX,LA63
England,Craven 001D,LA63EW,LA63
England,Craven 001D,LA63ET,LA63
England,Craven 001D,LA63EX,LA63
England,Craven 001D,LA63PP,LA63
England,Craven 001A,LA63LL,LA63
England,Craven 001A,LA63NE,LA63
England,Craven 001D,LA63JD,LA63
England,Craven 001D,LA63NQ,LA63
England,Craven 001A,LA63LZ,LA63
England,Craven 001D,LA63BA,LA63
England,Craven 001D,LA63DD,LA63
England,Craven 001D,LA63EQ,LA63
England,Craven 001D,LA63AZ,LA63
England,Craven 001A,LA63LA,LA63
England,Craven 001D,LA63AL,LA63
England,Craven 001D,LA63NU,LA63
England,Craven 001A,LA63FW,LA63
England,Craven 001D,LA63BT,LA63
England,Craven 001A,LA63LH,LA63
England,Craven 001D,LA63JW,LA63
England,Craven 001D,LA63BZ,LA63
England,Craven 001D,LA63EP,LA63
England,Craven 001D,LA63PN,LA63
England,Craven 001D,LA63JF,LA63
England,Craven 001D,LA63EG,LA63
England,Craven 001D,LA63FE,LA63
England,Craven 001D,LA63FD,LA63
England,Craven 001A,LA63LS,LA63
England,Craven 001D,LA63HE,LA63
England,Craven 001D,LA63JL,LA63
England,Craven 001A,LA63PG,LA63
England,Craven 001A,LA63LN,LA63
England,Lancaster 002D,LA63LX,LA63
England,Craven 001D,LA63NP,LA63
England,Craven 001D,LA63BJ,LA63
England,Craven 001D,LA63HS,LA63
England,Craven 001D,LA63DP,LA63
England,Craven 001D,LA63NG,LA63
England,Craven 001D,LA63WQ,LA63
England,Craven 001D,LA63BE,LA63
England,Craven 001A,LA63JS,LA63
England,Craven 001D,LA63FN,LA63
England,Craven 001D,LA63BG,LA63
England,Craven 001D,LA63NH,LA63
England,Craven 001A,LA63ND,LA63
England,Craven 001D,LA63AJ,LA63
England,Craven 001D,LA63EZ,LA63
England,Craven 001D,LA63FB,LA63
England,Craven 001D,LA63ER,LA63
England,Craven 001A,LA63JP,LA63
England,Craven 001D,LA63HU,LA63
England,Craven 001A,LA63LT,LA63
England,Craven 001D,LA63AR,LA63
England,Craven 001D,LA63EH,LA63
England,Craven 001D,LA63PD,LA63
England,Craven 001D,LA63DG,LA63
England,Craven 001A,LA63LR,LA63
