Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
Wales,Powys 011D,LD71RA,LD71
England,Shropshire 037B,LD71NB,LD71
Wales,Powys 011A,LD71YR,LD71
England,Shropshire 037B,LD71TS,LD71
Wales,Powys 011C,LD71BW,LD71
Wales,Powys 011A,LD71PF,LD71
Wales,Powys 011C,LD71EW,LD71
England,Shropshire 037B,LD71YY,LD71
Wales,Powys 011C,LD71HX,LD71
Wales,Powys 011D,LD71SW,LD71
Wales,Powys 011C,LD71EN,LD71
Wales,Powys 011C,LD71HZ,LD71
Wales,Powys 011C,LD71LJ,LD71
Wales,Powys 011C,LD71DA,LD71
Wales,Powys 011B,LD71LG,LD71
Wales,Powys 011C,LD71BG,LD71
England,Shropshire 037B,LD71TN,LD71
Wales,Powys 011B,LD71HB,LD71
Wales,Powys 011A,LD71YG,LD71
England,Shropshire 037B,LD71TU,LD71
Wales,Powys 011B,LD71PG,LD71
Wales,Powys 011D,LD71PB,LD71
Wales,Powys 011C,LD71HY,LD71
Wales,Powys 011B,LD71HQ,LD71
Wales,Powys 011C,LD71AN,LD71
Wales,Powys 011C,LD71LB,LD71
Wales,Powys 011C,LD71BE,LD71
Wales,Powys 011D,LD71NQ,LD71
Wales,Powys 011D,LD71NN,LD71
Wales,Powys 011D,LD71SN,LD71
Wales,Powys 011B,LD71HD,LD71
Wales,Powys 011C,LD71DG,LD71
Wales,Powys 011D,LD71TD,LD71
Wales,Powys 011A,LD71PN,LD71
England,Shropshire 037B,LD71TR,LD71
Wales,Powys 011D,LD71SR,LD71
Wales,Powys 011B,LD71EP,LD71
England,Shropshire 037B,LD71YU,LD71
Wales,Powys 011B,LD71BA,LD71
Wales,Powys 011A,LD71PW,LD71
Wales,Powys 011C,LD71LA,LD71
England,Shropshire 037B,LD71DY,LD71
Wales,Powys 011C,LD71BB,LD71
Wales,Powys 011D,LD71SE,LD71
Wales,Powys 011A,LD71PS,LD71
Wales,Powys 011A,LD71YN,LD71
Wales,Powys 011A,LD71TE,LD71
Wales,Powys 011C,LD71EY,LD71
Wales,Powys 011A,LD71PR,LD71
Wales,Powys 011C,LD71AW,LD71
England,Shropshire 037B,LD71YS,LD71
England,Shropshire 037B,LD71TW,LD71
Wales,Powys 011D,LD71SH,LD71
England,Shropshire 037B,LD71UA,LD71
Wales,Powys 011A,LD71RE,LD71
England,Shropshire 037B,LD71NE,LD71
Wales,Powys 011A,LD71TT,LD71
Wales,Powys 011C,LD71DN,LD71
Wales,Powys 011B,LD71DQ,LD71
Wales,Powys 011B,LD71HE,LD71
Wales,Powys 011C,LD71EB,LD71
Wales,Powys 011C,LD71HW,LD71
Wales,Powys 011C,LD71AT,LD71
Wales,Powys 011C,LD71AR,LD71
Wales,Powys 011A,LD71YD,LD71
Wales,Powys 011D,LD71PD,LD71
Wales,Powys 011D,LD71NS,LD71
Wales,Powys 011C,LD71LS,LD71
Wales,Powys 011C,LD71HJ,LD71
Wales,Powys 011C,LD71AG,LD71
Wales,Powys 011C,LD71HT,LD71
Wales,Powys 011D,LD71NJ,LD71
Wales,Powys 011B,LD71EG,LD71
Wales,Powys 011C,LD71ER,LD71
Wales,Powys 011C,LD71HU,LD71
Wales,Powys 011A,LD71RN,LD71
Wales,Powys 011B,LD71SA,LD71
Wales,Powys 011C,LD71AA,LD71
England,Shropshire 037B,LD71NF,LD71
Wales,Powys 011D,LD71SF,LD71
Wales,Powys 011A,LD71YT,LD71
Wales,Powys 011A,LD71PU,LD71
Wales,Powys 011D,LD71TA,LD71
Wales,Powys 011B,LD71DE,LD71
Wales,Powys 011C,LD71HS,LD71
Wales,Powys 011D,LD71NU,LD71
Wales,Powys 011C,LD71AU,LD71
Wales,Powys 011A,LD71RD,LD71
Wales,Powys 011D,LD71SL,LD71
Wales,Powys 011A,LD71PZ,LD71
Wales,Powys 011C,LD71LF,LD71
Wales,Powys 011A,LD71YE,LD71
Wales,Powys 011A,LD71PL,LD71
Wales,Powys 011B,LD71DL,LD71
Wales,Powys 011A,LD71RG,LD71
Wales,Powys 011C,LD71AL,LD71
Wales,Powys 011A,LD71RF,LD71
Wales,Powys 011C,LD71LT,LD71
Wales,Powys 011C,LD71LR,LD71
Wales,Powys 011C,LD71HG,LD71
Wales,Powys 011B,LD71LD,LD71
Wales,Powys 011A,LD71UH,LD71
Wales,Powys 011B,LD71UR,LD71
Wales,Powys 011B,LD71RS,LD71
Wales,Powys 011B,LD71HN,LD71
Wales,Powys 011A,LD71RR,LD71
Wales,Powys 011D,LD71NW,LD71
Wales,Powys 011C,LD71ED,LD71
Wales,Powys 011D,LD71SG,LD71
Wales,Powys 011A,LD71UU,LD71
Wales,Powys 011C,LD71LY,LD71
Wales,Powys 011B,LD71RT,LD71
Wales,Powys 011C,LD71DT,LD71
Wales,Powys 011B,LD71LE,LD71
Wales,Powys 011A,LD71YA,LD71
