Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Blaby 005A,LE32WD,LE32
England,Blaby 005G,LE32GZ,LE32
England,Leicester 029D,LE32AT,LE32
England,Blaby 005B,LE32XF,LE32
England,Leicester 028B,LE32RS,LE32
England,Blaby 005B,LE32YJ,LE32
England,Leicester 029D,LE32AA,LE32
England,Blaby 005D,LE32TD,LE32
England,Blaby 005E,LE32PT,LE32
England,Blaby 005F,LE32FA,LE32
England,Leicester 029D,LE32BH,LE32
England,Blaby 005F,LE32GB,LE32
England,Blaby 005C,LE32LJ,LE32
England,Blaby 005E,LE32PS,LE32
England,Blaby 005C,LE32LH,LE32
England,Leicester 029B,LE32EP,LE32
England,Blaby 004B,LE32SR,LE32
England,Blaby 005F,LE32GY,LE32
England,Blaby 005D,LE32TW,LE32
England,Leicester 029A,LE32EQ,LE32
England,Blaby 005C,LE32JA,LE32
England,Blaby 005F,LE32GH,LE32
England,Blaby 005E,LE32QB,LE32
England,Blaby 005D,LE32SE,LE32
England,Leicester 029C,LE32BQ,LE32
England,Blaby 005C,LE32PA,LE32
England,Blaby 005D,LE32SL,LE32
England,Blaby 004B,LE32SP,LE32
England,Leicester 029B,LE32ER,LE32
England,Blaby 005A,LE32WE,LE32
England,Blaby 005C,LE32LN,LE32
England,Blaby 005E,LE32UA,LE32
England,Blaby 005F,LE32GR,LE32
England,Blaby 005B,LE32XD,LE32
England,Blaby 005D,LE32TE,LE32
England,Blaby 005E,LE32PN,LE32
England,Blaby 005F,LE32FN,LE32
England,Blaby 005C,LE32JD,LE32
England,Blaby 005A,LE32TT,LE32
England,Blaby 006C,LE32LL,LE32
England,Blaby 005G,LE32HD,LE32
England,Leicester 029B,LE32FT,LE32
England,Blaby 005G,LE32GN,LE32
England,Blaby 005F,LE32GX,LE32
England,Leicester 029B,LE32EZ,LE32
England,Blaby 005C,LE32FJ,LE32
England,Blaby 005B,LE32XZ,LE32
England,Blaby 005D,LE32TR,LE32
England,Blaby 005F,LE32GP,LE32
England,Blaby 005F,LE32GU,LE32
England,Blaby 005D,LE32SU,LE32
England,Blaby 005G,LE32HE,LE32
England,Leicester 029B,LE32ES,LE32
England,Blaby 005B,LE32XA,LE32
England,Blaby 005B,LE32XB,LE32
England,Leicester 028A,LE32RA,LE32
England,Leicester 029B,LE32EG,LE32
England,Blaby 005D,LE32RW,LE32
England,Blaby 005F,LE32GE,LE32
England,Blaby 005B,LE32UR,LE32
England,Blaby 005C,LE32JE,LE32
England,Blaby 005A,LE32WF,LE32
England,Leicester 029D,LE32AN,LE32
England,Leicester 029D,LE32AQ,LE32
England,Blaby 005A,LE32YZ,LE32
England,Leicester 029D,LE32BG,LE32
England,Blaby 005C,LE32JH,LE32
England,Leicester 028E,LE32QR,LE32
England,Blaby 005F,LE32RU,LE32
England,Blaby 005B,LE32DE,LE32
England,Blaby 005D,LE32SN,LE32
England,Leicester 029A,LE32DB,LE32
England,Blaby 005C,LE32LD,LE32
England,Blaby 005G,LE32FP,LE32
England,Leicester 029D,LE32BP,LE32
England,Blaby 005D,LE32SF,LE32
England,Blaby 005E,LE32UF,LE32
England,Blaby 005F,LE32FX,LE32
England,Blaby 005B,LE32JS,LE32
England,Leicester 028B,LE32RR,LE32
England,Blaby 005E,LE32QD,LE32
England,Leicester 029C,LE32BN,LE32
England,Leicester 028B,LE32RE,LE32
England,Blaby 005E,LE32UE,LE32
England,Blaby 005E,LE32UD,LE32
England,Leicester 029D,LE32AR,LE32
England,Blaby 005B,LE32YA,LE32
England,Blaby 005E,LE32TB,LE32
