Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
Wales,Gwynedd 004D,LL564QG,LL56
Wales,Gwynedd 004D,LL564JS,LL56
Wales,Gwynedd 004D,LL564NQ,LL56
Wales,Gwynedd 004D,LL564TZ,LL56
Wales,Gwynedd 004D,LL564JA,LL56
Wales,Gwynedd 004D,LL564QX,LL56
Wales,Gwynedd 004D,LL564SQ,LL56
Wales,Gwynedd 004D,LL564PE,LL56
Wales,Gwynedd 004D,LL564SX,LL56
Wales,Gwynedd 004D,LL564UJ,LL56
Wales,Gwynedd 004D,LL564SZ,LL56
Wales,Gwynedd 004D,LL564RQ,LL56
Wales,Gwynedd 004D,LL564JF,LL56
Wales,Gwynedd 004B,LL564QU,LL56
Wales,Gwynedd 004D,LL564SJ,LL56
Wales,Gwynedd 004D,LL564UX,LL56
Wales,Gwynedd 004D,LL564NZ,LL56
Wales,Gwynedd 004D,LL564PD,LL56
Wales,Gwynedd 004D,LL564QN,LL56
Wales,Gwynedd 004D,LL564NJ,LL56
Wales,Gwynedd 004D,LL564JP,LL56
Wales,Gwynedd 005D,LL564QB,LL56
Wales,Gwynedd 004D,LL564JQ,LL56
Wales,Gwynedd 004D,LL564YQ,LL56
Wales,Gwynedd 005C,LL564QF,LL56
Wales,Gwynedd 004D,LL564JD,LL56
Wales,Gwynedd 004D,LL564HX,LL56
Wales,Gwynedd 004D,LL564RZ,LL56
Wales,Gwynedd 004D,LL564QL,LL56
Wales,Gwynedd 004D,LL564AB,LL56
Wales,Gwynedd 004D,LL564JG,LL56
Wales,Gwynedd 004D,LL564QS,LL56
Wales,Gwynedd 004D,LL564YJ,LL56
Wales,Gwynedd 004D,LL564RX,LL56
Wales,Gwynedd 004D,LL564QZ,LL56
Wales,Gwynedd 004D,LL564HQ,LL56
Wales,Gwynedd 004D,LL564JE,LL56
Wales,Gwynedd 004D,LL564PJ,LL56
Wales,Gwynedd 004D,LL564PZ,LL56
Wales,Gwynedd 004D,LL564XA,LL56
Wales,Gwynedd 004D,LL564JJ,LL56
Wales,Gwynedd 004D,LL564UQ,LL56
Wales,Gwynedd 004D,LL564QJ,LL56
Wales,Gwynedd 002C,LL564WB,LL56
Wales,Gwynedd 004D,LL564JR,LL56
Wales,Gwynedd 004D,LL564JY,LL56
Wales,Gwynedd 004D,LL564JZ,LL56
Wales,Gwynedd 005D,LL564QE,LL56
Wales,Gwynedd 004D,LL564NY,LL56
Wales,Gwynedd 004D,LL564LY,LL56
Wales,Gwynedd 004D,LL564QW,LL56
Wales,Gwynedd 004D,LL564QQ,LL56
Wales,Gwynedd 004D,LL564JB,LL56
Wales,Gwynedd 004D,LL564JH,LL56
Wales,Gwynedd 004D,LL564XD,LL56
Wales,Gwynedd 004D,LL564HJ,LL56
Wales,Gwynedd 004D,LL564UZ,LL56
Wales,Gwynedd 004D,LL564TJ,LL56
Wales,Gwynedd 005D,LL564JU,LL56
Wales,Gwynedd 004D,LL564NX,LL56
Wales,Gwynedd 004D,LL564PF,LL56
Wales,Gwynedd 005D,LL564QA,LL56
Wales,Gwynedd 005D,LL564JX,LL56
Wales,Gwynedd 005D,LL564QD,LL56
Wales,Gwynedd 004D,LL564TX,LL56
Wales,Gwynedd 004D,LL564QP,LL56
Wales,Gwynedd 004D,LL564JL,LL56
Wales,Gwynedd 005D,LL564QT,LL56
Wales,Gwynedd 004D,LL564TQ,LL56
Wales,Gwynedd 004D,LL564PB,LL56
Wales,Gwynedd 004D,LL564JN,LL56
Wales,Gwynedd 004D,LL564QY,LL56
Wales,Gwynedd 004D,LL564JW,LL56
Wales,Gwynedd 004D,LL564JT,LL56
Wales,Gwynedd 004D,LL564PA,LL56
