Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,East Lindsey 011D,LN95HP,LN95
England,East Lindsey 007B,LN95RP,LN95
England,East Lindsey 011B,LN95BW,LN95
England,East Lindsey 011C,LN95ST,LN95
England,East Lindsey 011D,LN95HX,LN95
England,East Lindsey 011B,LN95EP,LN95
England,East Lindsey 007B,LN95NU,LN95
England,East Lindsey 011B,LN95EL,LN95
England,East Lindsey 011D,LN95HU,LN95
England,East Lindsey 011C,LN95RH,LN95
England,East Lindsey 011C,LN95RQ,LN95
England,East Lindsey 011B,LN95EZ,LN95
England,East Lindsey 011B,LN95EB,LN95
England,East Lindsey 011D,LN95SH,LN95
England,East Lindsey 011C,LN95SD,LN95
England,East Lindsey 009D,LN95PU,LN95
England,East Lindsey 007B,LN95JU,LN95
England,East Lindsey 011B,LN95PN,LN95
England,East Lindsey 007B,LN95NN,LN95
England,East Lindsey 011C,LN95SU,LN95
England,East Lindsey 007B,LN95NB,LN95
England,East Lindsey 011C,LN95JS,LN95
England,East Lindsey 011D,LN95DU,LN95
England,East Lindsey 007B,LN95RT,LN95
England,East Lindsey 011B,LN95EJ,LN95
England,East Lindsey 011B,LN95BF,LN95
England,East Lindsey 007B,LN95RW,LN95
England,East Lindsey 011D,LN95DS,LN95
England,East Lindsey 011D,LN95JQ,LN95
England,East Lindsey 011D,LN95DW,LN95
England,East Lindsey 011B,LN95EU,LN95
England,East Lindsey 009D,LN95QE,LN95
England,East Lindsey 009D,LN95PY,LN95
England,East Lindsey 011B,LN95DE,LN95
England,East Lindsey 009D,LN95QW,LN95
England,East Lindsey 011D,LN95HZ,LN95
England,East Lindsey 011C,LN95AS,LN95
England,East Lindsey 007B,LN95ND,LN95
England,East Lindsey 011C,LN95RB,LN95
England,East Lindsey 007B,LN95RZ,LN95
England,East Lindsey 011D,LN95BU,LN95
England,East Lindsey 009D,LN95QQ,LN95
England,East Lindsey 011C,LN95GF,LN95
England,East Lindsey 011B,LN95DX,LN95
England,East Lindsey 011B,LN95LN,LN95
England,East Lindsey 007B,LN95NQ,LN95
England,East Lindsey 007B,LN95NP,LN95
England,East Lindsey 007B,LN95JY,LN95
England,East Lindsey 011B,LN95GA,LN95
England,East Lindsey 011C,LN95RE,LN95
England,East Lindsey 011D,LN95BT,LN95
England,East Lindsey 007B,LN95LB,LN95
England,East Lindsey 011C,LN95AR,LN95
England,East Lindsey 007B,LN95NS,LN95
England,East Lindsey 011D,LN95HL,LN95
England,East Lindsey 011D,LN95AF,LN95
England,East Lindsey 011B,LN95ER,LN95
England,East Lindsey 011B,LN95LJ,LN95
England,East Lindsey 009D,LN95PR,LN95
England,East Lindsey 011B,LN95ED,LN95
England,East Lindsey 007B,LN95LA,LN95
England,East Lindsey 009D,LN95PT,LN95
England,East Lindsey 011D,LN95DN,LN95
England,East Lindsey 011C,LN95AE,LN95
England,East Lindsey 007B,LN95NA,LN95
England,East Lindsey 007B,LN95PE,LN95
England,East Lindsey 011C,LN95RA,LN95
England,East Lindsey 007B,LN95NW,LN95
England,East Lindsey 007B,LN95JL,LN95
England,East Lindsey 011C,LN95BQ,LN95
England,East Lindsey 011C,LN95JP,LN95
England,East Lindsey 011C,LN95AG,LN95
England,East Lindsey 011C,LN95SS,LN95
England,East Lindsey 009D,LN95QN,LN95
England,East Lindsey 007B,LN95NG,LN95
