Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Leeds 102H,LS278GR,LS27
England,Leeds 104B,LS279ER,LS27
England,Leeds 095D,LS279PD,LS27
England,Leeds 095D,LS279JL,LS27
England,Leeds 096A,LS277BE,LS27
England,Leeds 102H,LS278EY,LS27
England,Leeds 111B,LS27DB,LS27
England,Leeds 071E,LS27UH,LS27
England,Leeds 095D,LS279LB,LS27
England,Leeds 111C,LS27EB,LS27
England,Leeds 095B,LS277LY,LS27
England,Leeds 104B,LS270RQ,LS27
England,Leeds 093D,LS278TZ,LS27
England,Leeds 104A,LS279JP,LS27
England,Leeds 096A,LS277AU,LS27
England,Leeds 095B,LS277LJ,LS27
England,Leeds 104A,LS278LU,LS27
England,Leeds 093D,LS278UA,LS27
England,Leeds 095B,LS277EL,LS27
England,Leeds 093C,LS277GZ,LS27
England,Leeds 102I,LS278DA,LS27
England,Leeds 095A,LS277BY,LS27
England,Leeds 093D,LS279HP,LS27
England,Leeds 106A,LS270NE,LS27
England,Leeds 102B,LS278SG,LS27
England,Leeds 104D,LS270QL,LS27
England,Leeds 095E,LS279QJ,LS27
England,Leeds 102H,LS279BB,LS27
England,Leeds 104B,LS278WP,LS27
England,Leeds 093A,LS277RT,LS27
England,Leeds 102I,LS278BJ,LS27
England,Leeds 106B,LS270PP,LS27
England,Leeds 106C,LS270BW,LS27
England,Leeds 096A,LS277AR,LS27
England,Leeds 106C,LS270DY,LS27
England,Leeds 102F,LS278WH,LS27
England,Leeds 104B,LS279FA,LS27
England,Leeds 095B,LS277RZ,LS27
England,Leeds 106A,LS270LF,LS27
England,Leeds 104B,LS278HG,LS27
England,Leeds 055G,LS27JQ,LS27
England,Leeds 096C,LS277HZ,LS27
England,Leeds 102B,LS278UJ,LS27
England,Leeds 096A,LS277DB,LS27
England,Leeds 093A,LS277TU,LS27
England,Leeds 106B,LS270RA,LS27
England,Leeds 093D,LS278NF,LS27
England,Leeds 102I,LS278QN,LS27
England,Leeds 106B,LS270PR,LS27
England,Leeds 093A,LS277UX,LS27
England,Leeds 104C,LS270RP,LS27
England,Leeds 102H,LS278TU,LS27
England,Leeds 102G,LS278AF,LS27
England,Leeds 093D,LS277PD,LS27
England,Leeds 111B,LS27DY,LS27
England,Leeds 093D,LS278NS,LS27
England,Leeds 106C,LS270DW,LS27
England,Leeds 104D,LS270JE,LS27
England,Leeds 111C,LS27HU,LS27
England,Leeds 102I,LS278AJ,LS27
England,Leeds 095C,LS279RF,LS27
England,Leeds 106C,LS270FH,LS27
England,Leeds 104B,LS278EG,LS27
England,Leeds 093D,LS279SA,LS27
England,Leeds 102G,LS278EP,LS27
England,Leeds 106A,LS270NB,LS27
England,Leeds 104B,LS277ZR,LS27
England,Leeds 095A,LS277ED,LS27
England,Leeds 102H,LS278US,LS27
