Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Central Bedfordshire 026B,LU56JF,LU56
England,Central Bedfordshire 019D,LU56QB,LU56
England,Central Bedfordshire 019E,LU56EJ,LU56
England,Central Bedfordshire 019D,LU56JA,LU56
England,Central Bedfordshire 019E,LU56AA,LU56
England,Central Bedfordshire 019E,LU56ER,LU56
England,Central Bedfordshire 017C,LU56NX,LU56
England,Central Bedfordshire 017C,LU56NB,LU56
England,Central Bedfordshire 019C,LU56FD,LU56
England,Central Bedfordshire 017B,LU56NG,LU56
England,Central Bedfordshire 019C,LU56AB,LU56
England,Central Bedfordshire 017C,LU56PE,LU56
England,Central Bedfordshire 019E,LU56DY,LU56
England,Central Bedfordshire 019D,LU56AJ,LU56
England,Central Bedfordshire 019C,LU56BN,LU56
England,Central Bedfordshire 019E,LU56WQ,LU56
England,Central Bedfordshire 025D,LU56JP,LU56
England,Central Bedfordshire 019E,LU56EL,LU56
England,Central Bedfordshire 017B,LU56LN,LU56
England,Central Bedfordshire 019E,LU56EA,LU56
England,Central Bedfordshire 019E,LU56FP,LU56
England,Central Bedfordshire 017C,LU56LQ,LU56
England,Central Bedfordshire 019B,LU56JL,LU56
England,Central Bedfordshire 017C,LU56HZ,LU56
England,Central Bedfordshire 017B,LU56LD,LU56
England,Central Bedfordshire 017B,LU56NU,LU56
England,Central Bedfordshire 019D,LU56AL,LU56
England,Central Bedfordshire 019E,LU56DT,LU56
England,Central Bedfordshire 019D,LU56AF,LU56
England,Central Bedfordshire 019E,LU56QG,LU56
England,Central Bedfordshire 017C,LU56LW,LU56
England,Central Bedfordshire 025D,LU56JJ,LU56
England,Central Bedfordshire 019C,LU56HS,LU56
England,Central Bedfordshire 019D,LU56AQ,LU56
England,Central Bedfordshire 019E,LU56WW,LU56
England,Central Bedfordshire 019D,LU56BD,LU56
England,Central Bedfordshire 026B,LU56JY,LU56
England,Central Bedfordshire 017C,LU56LF,LU56
England,Central Bedfordshire 019C,LU56HE,LU56
England,Central Bedfordshire 019D,LU56AZ,LU56
England,Central Bedfordshire 026B,LU56JS,LU56
England,Central Bedfordshire 026B,LU56JQ,LU56
England,Central Bedfordshire 019E,LU56DP,LU56
England,Central Bedfordshire 017C,LU56NY,LU56
England,Central Bedfordshire 017C,LU56PB,LU56
England,Central Bedfordshire 019C,LU56HG,LU56
England,Central Bedfordshire 019E,LU56BX,LU56
England,Central Bedfordshire 017B,LU56LX,LU56
England,Central Bedfordshire 019C,LU56BT,LU56
England,Central Bedfordshire 019C,LU56AW,LU56
England,Central Bedfordshire 026B,LU56JE,LU56
England,Central Bedfordshire 017C,LU56PA,LU56
England,Central Bedfordshire 019C,LU56DU,LU56
England,Central Bedfordshire 017C,LU56NH,LU56
England,Central Bedfordshire 019E,LU56HB,LU56
England,Central Bedfordshire 019C,LU56HA,LU56
England,Central Bedfordshire 017C,LU56PF,LU56
England,Central Bedfordshire 026B,LU56JX,LU56
England,Central Bedfordshire 019C,LU56DN,LU56
England,Central Bedfordshire 017B,LU56ND,LU56
England,Central Bedfordshire 017B,LU56NQ,LU56
England,Central Bedfordshire 019D,LU56AR,LU56
England,Central Bedfordshire 017B,LU56NT,LU56
England,Central Bedfordshire 019E,LU56WR,LU56
England,Central Bedfordshire 019E,LU56EZ,LU56
England,Central Bedfordshire 019C,LU56HL,LU56
England,Central Bedfordshire 017B,LU56NE,LU56
England,Central Bedfordshire 019E,LU56BS,LU56
England,Central Bedfordshire 019C,LU56AE,LU56
England,Central Bedfordshire 017C,LU56LP,LU56
England,Central Bedfordshire 019C,LU56QJ,LU56
England,Central Bedfordshire 017C,LU56NL,LU56
England,Central Bedfordshire 026B,LU56JU,LU56
England,Central Bedfordshire 019C,LU56QE,LU56
England,Central Bedfordshire 019E,LU56EN,LU56
England,Central Bedfordshire 019D,LU56BB,LU56
England,Central Bedfordshire 019E,LU56HX,LU56
England,Central Bedfordshire 019E,LU56AN,LU56
England,Central Bedfordshire 019C,LU56FJ,LU56
England,Central Bedfordshire 017C,LU56NN,LU56
