Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Manchester 055B,M11EL,M11E
England,Manchester 055B,M11EA,M11E
England,Manchester 055D,M11EE,M11E
England,Manchester 055D,M11EG,M11E
England,Manchester 055D,M11EU,M11E
England,Manchester 055B,M11ED,M11E
England,Manchester 055B,M11EZ,M11E
England,Manchester 055D,M11EX,M11E
England,Manchester 055B,M11EY,M11E
England,Manchester 055D,M11EJ,M11E
England,Manchester 055D,M11EW,M11E
England,Manchester 055B,M11ET,M11E
England,Manchester 055D,M11EH,M11E
England,Manchester 055D,M11EB,M11E
England,Manchester 055D,M11EP,M11E
England,Manchester 055D,M11EN,M11E
England,Manchester 055D,M11ER,M11E
