Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Manchester 005E,M403LJ,M403
England,Manchester 005E,M403QB,M403
England,Manchester 005A,M403QU,M403
England,Manchester 005A,M403GW,M403
England,Manchester 005C,M403AQ,M403
England,Manchester 005B,M403WT,M403
England,Manchester 005F,M403SY,M403
England,Manchester 005F,M403RH,M403
England,Manchester 003D,M403LA,M403
England,Manchester 005A,M403PU,M403
England,Manchester 005A,M403QR,M403
England,Manchester 005A,M403QQ,M403
England,Manchester 005F,M403GJ,M403
England,Manchester 005E,M403LZ,M403
England,Manchester 005F,M403QN,M403
England,Manchester 005E,M403RY,M403
England,Manchester 005E,M403WE,M403
England,Manchester 005A,M403HD,M403
England,Manchester 005F,M403RQ,M403
England,Manchester 005F,M403RN,M403
England,Manchester 005E,M403NS,M403
England,Manchester 005B,M403WN,M403
England,Manchester 011A,M403AX,M403
England,Oldham 028C,M403HZ,M403
England,Manchester 005E,M403PD,M403
England,Manchester 005F,M403TB,M403
England,Manchester 005E,M403WR,M403
England,Manchester 005F,M403GE,M403
England,Manchester 005A,M403QF,M403
England,Manchester 005A,M403PN,M403
England,Manchester 005B,M403NT,M403
England,Manchester 005C,M403AW,M403
England,Manchester 005E,M403LP,M403
England,Manchester 005A,M403WL,M403
England,Manchester 005A,M403SU,M403
England,Manchester 005E,M403PA,M403
England,Manchester 005F,M403SF,M403
England,Manchester 005B,M403NQ,M403
England,Manchester 005D,M403NG,M403
England,Manchester 005F,M403RB,M403
England,Manchester 005D,M403WQ,M403
England,Manchester 003D,M403LQ,M403
England,Manchester 005B,M403NP,M403
England,Manchester 005A,M403QX,M403
England,Manchester 005D,M403WG,M403
England,Manchester 005F,M403TA,M403
England,Manchester 005E,M403LF,M403
England,Manchester 005F,M403RP,M403
England,Manchester 005A,M403QS,M403
England,Manchester 005A,M403QD,M403
England,Manchester 005F,M403SE,M403
England,Manchester 005B,M403NF,M403
England,Manchester 005F,M403TJ,M403
England,Manchester 005A,M403GP,M403
England,Manchester 005A,M403SS,M403
England,Manchester 011A,M403AB,M403
England,Manchester 005F,M403SZ,M403
England,Manchester 005A,M403PR,M403
England,Manchester 005E,M403RT,M403
England,Manchester 005F,M403RF,M403
England,Manchester 005F,M403SW,M403
England,Manchester 005A,M403PG,M403
England,Manchester 003D,M403LN,M403
England,Manchester 005E,M403PF,M403
England,Oldham 028D,M403RX,M403
England,Manchester 005E,M403LL,M403
England,Manchester 003D,M403QJ,M403
England,Manchester 005A,M403QT,M403
England,Manchester 005F,M403TD,M403
England,Manchester 011A,M403AG,M403
England,Manchester 003D,M403LR,M403
England,Manchester 005F,M403TF,M403
England,Manchester 005E,M403LY,M403
England,Manchester 005F,M403SL,M403
England,Manchester 005E,M403QA,M403
England,Manchester 005F,M403GH,M403
England,Manchester 011A,M403AE,M403
England,Manchester 005B,M403NW,M403
England,Manchester 005F,M403SA,M403
England,Manchester 005F,M403TG,M403
England,Manchester 005E,M403LE,M403
England,Manchester 005A,M403ST,M403
England,Manchester 005E,M403QH,M403
England,Manchester 011A,M403AT,M403
England,Manchester 005A,M403QE,M403
England,Manchester 005B,M403NH,M403
England,Manchester 005F,M403RE,M403
England,Manchester 005D,M403NR,M403
England,Manchester 005E,M403PH,M403
England,Manchester 005E,M403PY,M403
England,Manchester 005C,M403NE,M403
England,Manchester 005E,M403LH,M403
England,Manchester 003D,M403LG,M403
England,Manchester 005F,M403RJ,M403
England,Manchester 005A,M403QY,M403
England,Manchester 011A,M403AD,M403
England,Manchester 011A,M403AS,M403
England,Manchester 011A,M403AN,M403
England,Manchester 005E,M403LX,M403
England,Manchester 005F,M403EJ,M403
England,Manchester 005E,M403LS,M403
England,Manchester 005A,M403NN,M403
England,Manchester 005A,M403QP,M403
England,Manchester 005A,M403GF,M403
England,Manchester 005A,M403GN,M403
England,Manchester 005F,M403RS,M403
England,Manchester 005D,M403WH,M403
England,Manchester 005A,M403QG,M403
England,Manchester 005B,M403WB,M403
England,Manchester 005F,M403SX,M403
England,Manchester 005D,M403NB,M403
England,Manchester 005B,M403WU,M403
England,Manchester 011A,M403AZ,M403
England,Manchester 005A,M403PS,M403
England,Manchester 005F,M403GL,M403
England,Manchester 005A,M403PX,M403
England,Manchester 005B,M403NX,M403
England,Manchester 005B,M403ND,M403
England,Manchester 005E,M403RU,M403
England,Manchester 011A,M403AL,M403
England,Manchester 005F,M403QL,M403
England,Manchester 011A,M403ET,M403
England,Manchester 005E,M403RZ,M403
England,Manchester 003D,M403LB,M403
England,Manchester 005F,M403RR,M403
England,Manchester 005F,M403TH,M403
England,Manchester 003D,M403LD,M403
England,Manchester 005E,M403PE,M403
England,Manchester 005A,M403PQ,M403
England,Manchester 005E,M403PJ,M403
England,Manchester 003D,M403HY,M403
England,Manchester 005A,M403SD,M403
England,Manchester 005B,M403WP,M403
England,Manchester 005A,M403PT,M403
England,Manchester 005F,M403RA,M403
England,Manchester 011A,M403AR,M403
England,Manchester 005A,M403NL,M403
England,Manchester 005A,M403GQ,M403
England,Manchester 005C,M403WD,M403
England,Manchester 005F,M403TE,M403
England,Manchester 005B,M403NU,M403
England,Manchester 005B,M403NJ,M403
England,Manchester 005E,M403NA,M403
England,Manchester 005F,M403RD,M403
England,Manchester 005A,M403PP,M403
England,Manchester 005E,M403WF,M403
England,Manchester 005A,M403PW,M403
England,Manchester 005F,M403RL,M403
England,Manchester 005B,M403WX,M403
England,Manchester 011A,M403AJ,M403
England,Manchester 011A,M403AY,M403
England,Manchester 005E,M403PB,M403
England,Manchester 005B,M403WS,M403
England,Manchester 005E,M403LT,M403
England,Manchester 005F,M403WY,M403
England,Manchester 005A,M403GG,M403
England,Manchester 005A,M403SR,M403
England,Manchester 005A,M403QW,M403
England,Manchester 011A,M403BA,M403
England,Manchester 005A,M403SB,M403
England,Manchester 005F,M403RW,M403
England,Manchester 005B,M403WA,M403
England,Manchester 005E,M403LW,M403
England,Manchester 005E,M403LU,M403
England,Manchester 011A,M403AU,M403
England,Manchester 011A,M403EZ,M403
England,Manchester 005B,M403WW,M403
England,Manchester 005A,M403PL,M403
England,Manchester 005E,M403RG,M403
