Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Salford 028G,M53AE,M53A
England,Salford 028G,M53AF,M53A
England,Salford 028G,M53AG,M53A
England,Salford 028G,M53AA,M53A
England,Salford 028B,M53AP,M53A
England,Salford 028B,M53AQ,M53A
England,Salford 028F,M53AW,M53A
England,Salford 022H,M53AT,M53A
England,Salford 028B,M53AU,M53A
England,Salford 028B,M53AZ,M53A
England,Salford 028G,M53AB,M53A
England,Salford 028G,M53AN,M53A
England,Salford 028B,M53AX,M53A
England,Salford 028G,M53AH,M53A
England,Salford 028B,M53AY,M53A
