Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Manchester 058D,M74TX,M74T
England,Salford 016D,M74TB,M74T
England,Salford 016D,M74TW,M74T
England,Salford 016C,M74TP,M74T
England,Salford 016D,M74TN,M74T
England,Salford 016C,M74TF,M74T
England,Salford 016D,M74TA,M74T
England,Manchester 058A,M74TD,M74T
England,Salford 016D,M74TT,M74T
England,Manchester 058D,M74TY,M74T
England,Salford 016D,M74TE,M74T
England,Salford 016D,M74TS,M74T
England,Salford 016D,M74TH,M74T
England,Salford 016C,M74TZ,M74T
