Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Salford 010B,M74WG,M74W
England,Salford 010B,M74WH,M74W
England,Salford 010A,M74WR,M74W
England,Salford 011A,M74WL,M74W
England,Salford 010B,M74WT,M74W
England,Salford 010B,M74WU,M74W
England,Salford 011A,M74WJ,M74W
England,Salford 016C,M74WZ,M74W
England,Salford 011A,M74WP,M74W
England,Salford 011A,M74WN,M74W
England,Salford 011A,M74WW,M74W
England,Salford 011A,M74WE,M74W
England,Salford 010B,M74WF,M74W
England,Salford 011A,M74WA,M74W
England,Salford 010B,M74WD,M74W
