Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Manchester 006B,M94BB,M94B
England,Manchester 007A,M94BG,M94B
England,Manchester 006D,M94BX,M94B
England,Manchester 006B,M94BP,M94B
England,Manchester 006D,M94BT,M94B
England,Manchester 007A,M94BQ,M94B
England,Manchester 006D,M94BA,M94B
England,Manchester 006B,M94BD,M94B
England,Manchester 006D,M94BR,M94B
England,Manchester 006B,M94BF,M94B
England,Manchester 006B,M94BJ,M94B
England,Manchester 006B,M94BH,M94B
England,Manchester 007A,M94BY,M94B
England,Manchester 006D,M94BL,M94B
England,Manchester 006B,M94BE,M94B
England,Manchester 006D,M94BW,M94B
England,Manchester 006D,M94BU,M94B
England,Manchester 007A,M94BN,M94B
