Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Manchester 009A,M95PQ,M95P
England,Manchester 009A,M95PL,M95P
England,Manchester 009A,M95PA,M95P
England,Manchester 009A,M95PB,M95P
England,Manchester 006B,M95PF,M95P
England,Manchester 009A,M95PZ,M95P
England,Manchester 009A,M95PG,M95P
England,Manchester 009A,M95PN,M95P
England,Manchester 006B,M95PY,M95P
England,Manchester 006B,M95PD,M95P
England,Manchester 006B,M95PE,M95P
England,Manchester 009A,M95PR,M95P
England,Manchester 009A,M95PJ,M95P
England,Manchester 009A,M95PX,M95P
