Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Manchester 001E,M98ND,M98N
England,Manchester 001E,M98NR,M98N
England,Manchester 002E,M98NT,M98N
England,Manchester 002E,M98NQ,M98N
England,Manchester 002E,M98NW,M98N
England,Manchester 001E,M98NL,M98N
England,Manchester 002E,M98NJ,M98N
England,Manchester 002E,M98NX,M98N
England,Manchester 001E,M98NF,M98N
England,Manchester 001E,M98NA,M98N
England,Manchester 002E,M98NN,M98N
England,Manchester 002E,M98NY,M98N
England,Manchester 001E,M98NS,M98N
England,Manchester 006C,M98NH,M98N
England,Manchester 001E,M98NG,M98N
England,Manchester 002E,M98NU,M98N
England,Manchester 002E,M98NP,M98N
England,Manchester 001E,M98NB,M98N
England,Manchester 001E,M98NE,M98N
