Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Medway 012B,ME74PU,ME74
England,Medway 013D,ME74HS,ME74
England,Medway 013B,ME74RF,ME74
England,Medway 013B,ME74RE,ME74
England,Medway 013A,ME74JY,ME74
England,Medway 016C,ME74NE,ME74
England,Medway 013D,ME74HA,ME74
England,Medway 012B,ME74ES,ME74
England,Medway 013A,ME74QG,ME74
England,Medway 019D,ME74JG,ME74
England,Medway 012B,ME74RW,ME74
England,Medway 013E,ME74EB,ME74
England,Medway 019B,ME74AY,ME74
England,Medway 012D,ME74HF,ME74
England,Medway 013E,ME74BW,ME74
England,Medway 012B,ME74PY,ME74
England,Medway 013D,ME74EE,ME74
England,Medway 013E,ME74JQ,ME74
England,Medway 016A,ME74NJ,ME74
England,Medway 016A,ME74RZ,ME74
England,Medway 019B,ME74AB,ME74
England,Medway 013A,ME74PW,ME74
England,Medway 013D,ME74HT,ME74
England,Medway 013A,ME74QD,ME74
England,Medway 016A,ME74NL,ME74
England,Medway 013A,ME74QP,ME74
England,Medway 012D,ME74PR,ME74
England,Medway 012B,ME74ER,ME74
England,Medway 013E,ME74BP,ME74
England,Medway 012B,ME74LA,ME74
England,Medway 016B,ME74ET,ME74
England,Medway 016B,ME74LS,ME74
England,Medway 012B,ME74PT,ME74
England,Medway 013A,ME74JS,ME74
England,Medway 013E,ME74BY,ME74
England,Medway 013D,ME74HR,ME74
England,Medway 013B,ME74DJ,ME74
England,Medway 013A,ME74PS,ME74
England,Medway 013E,ME74BL,ME74
England,Medway 013D,ME74JL,ME74
England,Medway 016A,ME74SA,ME74
England,Medway 013D,ME74DT,ME74
England,Medway 013A,ME74PQ,ME74
England,Medway 012B,ME74AW,ME74
England,Medway 012B,ME74EX,ME74
England,Medway 012B,ME74PN,ME74
England,Medway 016B,ME74ND,ME74
England,Medway 012B,ME74PX,ME74
England,Medway 019D,ME74JE,ME74
England,Medway 012D,ME74RQ,ME74
England,Medway 019B,ME74BX,ME74
England,Medway 016A,ME74SD,ME74
England,Medway 013D,ME74DY,ME74
England,Medway 013B,ME74RB,ME74
England,Medway 016A,ME74LP,ME74
England,Medway 012B,ME74EL,ME74
England,Medway 016C,ME74ST,ME74
England,Medway 019D,ME74BH,ME74
England,Medway 012D,ME74RX,ME74
England,Medway 013A,ME74QS,ME74
England,Medway 013E,ME74HH,ME74
England,Medway 013E,ME74BN,ME74
England,Medway 016B,ME74LL,ME74
England,Medway 016A,ME74SQ,ME74
England,Medway 019B,ME74LY,ME74
England,Medway 013A,ME74QN,ME74
England,Medway 012B,ME74PL,ME74
England,Medway 012B,ME74QA,ME74
England,Medway 019B,ME74AQ,ME74
England,Medway 013A,ME74NT,ME74
England,Medway 016A,ME74NN,ME74
England,Medway 013A,ME74PD,ME74
England,Medway 013A,ME74QJ,ME74
England,Medway 013B,ME74DD,ME74
England,Medway 013E,ME74JJ,ME74
England,Medway 013E,ME74EJ,ME74
England,Medway 016B,ME74NB,ME74
England,Medway 012B,ME74PP,ME74
England,Medway 016B,ME74LT,ME74
England,Medway 019D,ME74BQ,ME74
England,Medway 013A,ME74BF,ME74
England,Medway 013D,ME74DX,ME74
England,Medway 019B,ME74AG,ME74
England,Medway 013E,ME74JR,ME74
England,Medway 012B,ME74EY,ME74
England,Medway 013E,ME74BU,ME74
England,Medway 013E,ME74EH,ME74
England,Medway 016B,ME74HL,ME74
England,Medway 019D,ME74JD,ME74
England,Medway 019B,ME74NA,ME74
England,Medway 019B,ME74AX,ME74
England,Medway 013B,ME74RA,ME74
England,Medway 012B,ME74RP,ME74
England,Medway 013E,ME74BD,ME74
England,Medway 013B,ME74DH,ME74
England,Medway 016A,ME74RT,ME74
England,Medway 012B,ME74HB,ME74
England,Medway 019B,ME74AD,ME74
England,Medway 013A,ME74QE,ME74
England,Medway 012B,ME74RH,ME74
England,Medway 013E,ME74BS,ME74
England,Medway 019B,ME74HN,ME74
England,Medway 019D,ME74JB,ME74
England,Medway 016A,ME74LN,ME74
England,Medway 019D,ME74BG,ME74
England,Medway 013E,ME74BA,ME74
England,Medway 013E,ME74EQ,ME74
England,Medway 013B,ME74QH,ME74
England,Medway 012B,ME74PG,ME74
England,Medway 013D,ME74DW,ME74
England,Medway 019B,ME74AF,ME74
England,Medway 016B,ME74HJ,ME74
England,Medway 016A,ME74LR,ME74
England,Medway 013A,ME74QT,ME74
England,Medway 013E,ME74HP,ME74
England,Medway 013A,ME74QU,ME74
England,Medway 013B,ME74DG,ME74
England,Medway 013E,ME74AT,ME74
England,Medway 019B,ME74AU,ME74
England,Medway 012B,ME74DF,ME74
England,Medway 016A,ME74LH,ME74
England,Medway 016A,ME74RR,ME74
England,Medway 016C,ME74NG,ME74
England,Medway 012B,ME74PZ,ME74
England,Medway 013E,ME74EG,ME74
England,Medway 013E,ME74JH,ME74
England,Medway 019B,ME74BE,ME74
England,Medway 019B,ME74AE,ME74
England,Medway 016A,ME74NH,ME74
England,Medway 013D,ME74DL,ME74
England,Medway 012C,ME74SE,ME74
England,Medway 012B,ME74EU,ME74
England,Medway 016B,ME74HE,ME74
England,Medway 012B,ME74QB,ME74
England,Medway 013B,ME74DP,ME74
England,Medway 012B,ME74LE,ME74
England,Medway 012B,ME74JP,ME74
England,Medway 016B,ME74LU,ME74
England,Medway 012B,ME74RU,ME74
England,Medway 012B,ME74EP,ME74
England,Medway 013A,ME74PF,ME74
England,Medway 012B,ME74GZ,ME74
England,Medway 012B,ME74RN,ME74
England,Medway 013A,ME74QQ,ME74
England,Medway 013E,ME74AS,ME74
England,Medway 016A,ME74DQ,ME74
England,Medway 016A,ME74RS,ME74
England,Medway 012D,ME74RL,ME74
England,Medway 013A,ME74QX,ME74
England,Medway 019B,ME74AA,ME74
England,Medway 013A,ME74JX,ME74
England,Medway 013D,ME74EA,ME74
England,Medway 019B,ME74BB,ME74
England,Medway 013E,ME74BJ,ME74
England,Medway 013D,ME74DZ,ME74
England,Medway 012B,ME74EF,ME74
England,Medway 016A,ME74LJ,ME74
England,Medway 016B,ME74HG,ME74
England,Medway 013A,ME74QR,ME74
England,Medway 012C,ME74SB,ME74
England,Medway 013E,ME74HW,ME74
England,Medway 016C,ME74NQ,ME74
England,Medway 012D,ME74RY,ME74
England,Medway 012B,ME74JN,ME74
England,Medway 013A,ME74QL,ME74
England,Medway 016B,ME74HD,ME74
