Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Islington 012A,N14QE,N14Q
England,Islington 014F,N14QU,N14Q
England,Islington 014E,N14QT,N14Q
England,Islington 012A,N14QB,N14Q
England,Islington 014E,N14QS,N14Q
England,Islington 014E,N14QP,N14Q
England,Islington 014F,N14QR,N14Q
England,Islington 012C,N14QX,N14Q
England,Islington 012A,N14QD,N14Q
England,Islington 012A,N14QG,N14Q
England,Islington 012C,N14QY,N14Q
England,Islington 012A,N14QA,N14Q
England,Islington 012A,N14QH,N14Q
