Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Hackney 025C,N15RQ,N15R
England,Hackney 025C,N15RN,N15R
England,Hackney 025C,N15RJ,N15R
England,Hackney 025C,N15RF,N15R
England,Hackney 025C,N15RG,N15R
England,Hackney 025C,N15RL,N15R
England,Hackney 025C,N15RT,N15R
England,Hackney 025C,N15RS,N15R
England,Hackney 025C,N15RR,N15R
England,Hackney 025C,N15RE,N15R
England,Hackney 021C,N15RY,N15R
England,Hackney 025C,N15RH,N15R
England,Hackney 025C,N15RA,N15R
England,Hackney 025C,N15RU,N15R
England,Hackney 025C,N15RX,N15R
England,Hackney 025C,N15RW,N15R
