Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Hackney 027E,N16PG,N16P
England,Hackney 027E,N16PH,N16P
England,Hackney 027E,N16PJ,N16P
England,Hackney 027G,N16PB,N16P
England,Hackney 027E,N16PW,N16P
England,Hackney 027E,N16PR,N16P
England,Hackney 027G,N16PE,N16P
England,Hackney 027E,N16PL,N16P
England,Hackney 027E,N16PP,N16P
England,Hackney 027E,N16PZ,N16P
England,Hackney 027E,N16PT,N16P
England,Hackney 027E,N16PS,N16P
England,Hackney 027E,N16PX,N16P
England,Hackney 027E,N16PN,N16P
England,Hackney 027G,N16PD,N16P
England,Islington 020B,N16PY,N16P
England,Hackney 027G,N16PA,N16P
