Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Barnet 033B,N20BL,N20B
England,Barnet 033B,N20BH,N20B
England,Barnet 033B,N20BG,N20B
England,Barnet 033B,N20BE,N20B
England,Barnet 033B,N20BD,N20B
England,Barnet 033D,N20BF,N20B
England,Haringey 030A,N20BS,N20B
England,Haringey 030A,N20BU,N20B
England,Barnet 033B,N20BP,N20B
England,Barnet 033B,N20BN,N20B
England,Barnet 033B,N20BJ,N20B
England,Haringey 030A,N20BX,N20B
England,Haringey 030A,N20BT,N20B
England,Barnet 033B,N20BA,N20B
England,Barnet 033D,N20BB,N20B
England,Haringey 030A,N20BY,N20B
