Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Barnet 033A,N20LG,N20L
England,Barnet 033E,N20LA,N20L
England,Barnet 029C,N20LP,N20L
England,Barnet 033A,N20LY,N20L
England,Barnet 029A,N20LT,N20L
England,Barnet 033A,N20LD,N20L
England,Barnet 029A,N20LU,N20L
England,Barnet 033A,N20LS,N20L
England,Barnet 029C,N20LN,N20L
England,Barnet 033A,N20LE,N20L
England,Barnet 033A,N20LR,N20L
England,Barnet 029C,N20LW,N20L
England,Barnet 033A,N20LX,N20L
England,Barnet 033A,N20LF,N20L
England,Barnet 029C,N20LZ,N20L
England,Barnet 029C,N20LL,N20L
England,Barnet 033A,N20LB,N20L
