Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Barnet 033B,N20TT,N20T
England,Barnet 027A,N20TJ,N20T
England,Barnet 029A,N20TE,N20T
England,Barnet 029A,N20TB,N20T
England,Barnet 033B,N20TS,N20T
England,Barnet 029B,N20TG,N20T
England,Barnet 033B,N20TR,N20T
England,Barnet 029B,N20TQ,N20T
England,Barnet 033A,N20TA,N20T
England,Barnet 029A,N20TF,N20T
England,Barnet 033B,N20TU,N20T
England,Barnet 029A,N20TH,N20T
England,Barnet 033B,N20TX,N20T
England,Barnet 033B,N20TY,N20T
England,Barnet 033B,N20TP,N20T
England,Barnet 033D,N20TW,N20T
England,Barnet 029B,N20TD,N20T
