Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Enfield 022E,N212QY,N212
England,Enfield 017B,N212BP,N212
England,Enfield 021D,N212AB,N212
England,Enfield 021D,N212ST,N212
England,Enfield 017D,N212NH,N212
England,Enfield 022A,N212LS,N212
England,Enfield 017D,N212HD,N212
England,Enfield 017B,N212EL,N212
England,Enfield 021F,N212TL,N212
England,Enfield 017B,N212LT,N212
England,Enfield 021D,N212HN,N212
England,Enfield 022A,N212NS,N212
England,Enfield 021D,N212RN,N212
England,Enfield 022A,N212NX,N212
England,Enfield 022A,N212NP,N212
England,Enfield 022E,N212QU,N212
England,Enfield 017A,N212DA,N212
England,Enfield 022A,N212QP,N212
England,Enfield 021F,N212DS,N212
England,Enfield 021D,N212JB,N212
England,Enfield 021D,N212RS,N212
England,Enfield 017B,N212LD,N212
England,Enfield 021F,N212BE,N212
England,Enfield 021F,N212TB,N212
England,Enfield 021E,N212PR,N212
England,Enfield 021F,N212BA,N212
England,Enfield 021F,N212BB,N212
England,Enfield 022B,N212ZB,N212
England,Enfield 017B,N212BG,N212
England,Enfield 017B,N212BX,N212
England,Enfield 021F,N212DG,N212
England,Enfield 021D,N212AH,N212
England,Enfield 021D,N212HU,N212
England,Enfield 022A,N212LN,N212
England,Enfield 021F,N212DZ,N212
England,Enfield 021D,N212RT,N212
England,Enfield 022E,N212QS,N212
England,Enfield 021D,N212SA,N212
England,Enfield 021D,N212JJ,N212
England,Enfield 021D,N212RR,N212
England,Enfield 017B,N212DE,N212
England,Enfield 021D,N212HS,N212
England,Enfield 017A,N212DD,N212
England,Enfield 021D,N212JH,N212
England,Enfield 022B,N212XW,N212
England,Enfield 022E,N212RX,N212
England,Enfield 021D,N212SH,N212
England,Enfield 017B,N212ED,N212
England,Enfield 022E,N212QN,N212
England,Enfield 017B,N212EJ,N212
England,Enfield 021F,N212DT,N212
England,Enfield 017B,N212AJ,N212
England,Enfield 022E,N212RY,N212
England,Enfield 017B,N212EN,N212
England,Enfield 017D,N212HJ,N212
England,Enfield 017D,N212NJ,N212
England,Enfield 017B,N212LR,N212
England,Enfield 022E,N212SG,N212
England,Enfield 021D,N212AE,N212
England,Enfield 017B,N212LA,N212
England,Enfield 022A,N212LB,N212
England,Enfield 022A,N212LH,N212
England,Enfield 022A,N212LP,N212
England,Enfield 021F,N212TF,N212
England,Enfield 021D,N212HQ,N212
England,Enfield 021F,N212DN,N212
England,Enfield 017B,N212AN,N212
England,Enfield 022B,N212DX,N212
England,Enfield 022A,N212NR,N212
England,Enfield 021D,N212JA,N212
England,Enfield 022A,N212QH,N212
England,Enfield 017D,N212HB,N212
England,Enfield 021D,N212HR,N212
England,Enfield 021D,N212JL,N212
England,Enfield 017B,N212BU,N212
England,Enfield 022E,N212QX,N212
England,Enfield 017B,N212EH,N212
England,Enfield 022B,N212WJ,N212
England,Enfield 021D,N212JD,N212
England,Enfield 021C,N212JN,N212
England,Enfield 022A,N212ND,N212
England,Enfield 021F,N212AT,N212
England,Enfield 017A,N212BZ,N212
England,Enfield 021E,N212PS,N212
England,Enfield 017B,N212ES,N212
England,Enfield 017D,N212HE,N212
England,Enfield 026E,N212PH,N212
England,Enfield 021D,N212JP,N212
England,Enfield 021D,N212AA,N212
England,Enfield 017D,N212EE,N212
England,Enfield 026A,N212PX,N212
