Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Barnet 029B,N28EE,N28E
England,Barnet 029F,N28EN,N28E
England,Barnet 029F,N28ER,N28E
England,Barnet 029F,N28EG,N28E
England,Barnet 029F,N28EA,N28E
England,Barnet 027B,N28EZ,N28E
England,Barnet 029F,N28EL,N28E
England,Barnet 029F,N28EF,N28E
England,Barnet 029F,N28EW,N28E
England,Barnet 027B,N28ET,N28E
England,Barnet 029F,N28ES,N28E
England,Barnet 029A,N28EB,N28E
England,Barnet 029A,N28EY,N28E
England,Barnet 027B,N28EQ,N28E
England,Barnet 029A,N28EX,N28E
England,Barnet 029F,N28EJ,N28E
England,Barnet 029F,N28ED,N28E
England,Barnet 029F,N28EH,N28E
England,Barnet 029F,N28EP,N28E
England,Barnet 029A,N28EU,N28E
