Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Barnet 027D,N32HL,N32H
England,Barnet 023B,N32HN,N32H
England,Barnet 023B,N32HT,N32H
England,Barnet 027D,N32HX,N32H
England,Barnet 023D,N32HY,N32H
England,Barnet 023B,N32HH,N32H
England,Barnet 023B,N32HD,N32H
England,Barnet 023C,N32HA,N32H
England,Barnet 023B,N32HG,N32H
England,Barnet 023B,N32HE,N32H
England,Barnet 023B,N32HU,N32H
England,Barnet 023C,N32HB,N32H
England,Barnet 023B,N32HJ,N32H
England,Barnet 023B,N32HR,N32H
