Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Barnet 023A,N32JL,N32J
England,Barnet 023D,N32JA,N32J
England,Barnet 028A,N32JU,N32J
England,Barnet 023A,N32JR,N32J
England,Barnet 028A,N32JY,N32J
England,Barnet 028A,N32JG,N32J
England,Barnet 028A,N32JF,N32J
England,Barnet 028A,N32JH,N32J
England,Barnet 023A,N32JN,N32J
England,Barnet 023D,N32JB,N32J
England,Barnet 028A,N32JE,N32J
England,Barnet 023A,N32JJ,N32J
England,Barnet 028A,N32JX,N32J
England,Barnet 028A,N32JS,N32J
England,Barnet 028A,N32JT,N32J
England,Barnet 028A,N32JP,N32J
England,Barnet 023A,N32JQ,N32J
