Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Hackney 007C,N42FF,N42F
England,Hackney 007C,N42FD,N42F
England,Hackney 007C,N42FR,N42F
England,Hackney 007C,N42FH,N42F
England,Hackney 007C,N42FA,N42F
England,Hackney 007C,N42FS,N42F
England,Hackney 007C,N42FE,N42F
England,Hackney 007C,N42FB,N42F
England,Hackney 007C,N42FT,N42F
England,Hackney 007C,N42FX,N42F
England,Hackney 007C,N42FG,N42F
England,Hackney 007C,N42FN,N42F
England,Hackney 007C,N42FY,N42F
England,Hackney 007C,N42FJ,N42F
England,Hackney 007C,N42FP,N42F
England,Hackney 007C,N42FL,N42F
England,Hackney 007C,N42FQ,N42F
England,Hackney 007C,N42FZ,N42F
England,Hackney 007C,N42FW,N42F
