Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Islington 006G,N51DR,N51D
England,Islington 011I,N51DS,N51D
England,Islington 006D,N51DN,N51D
England,Islington 011I,N51DT,N51D
England,Islington 011I,N51DW,N51D
England,Islington 011I,N51DG,N51D
England,Islington 006D,N51DL,N51D
England,Islington 006D,N51DE,N51D
England,Islington 006D,N51DJ,N51D
England,Islington 006D,N51DD,N51D
England,Islington 011I,N51DA,N51D
England,Islington 011I,N51DX,N51D
England,Islington 011I,N51DU,N51D
England,Islington 006G,N51DP,N51D
England,Islington 011I,N51DH,N51D
