Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Islington 009C,N52UD,N52U
England,Islington 009C,N52UU,N52U
England,Islington 009A,N52UG,N52U
England,Islington 006A,N52UX,N52U
England,Islington 006A,N52UZ,N52U
England,Islington 009D,N52UH,N52U
England,Islington 009C,N52UT,N52U
England,Islington 009C,N52UE,N52U
England,Islington 006A,N52UR,N52U
England,Islington 009C,N52UP,N52U
England,Islington 009B,N52UA,N52U
England,Islington 013C,N52US,N52U
England,Islington 009C,N52UB,N52U
