Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Haringey 030C,N64AR,N64A
England,Haringey 030C,N64AP,N64A
England,Haringey 030C,N64AF,N64A
England,Haringey 030C,N64AB,N64A
England,Haringey 030B,N64AQ,N64A
England,Haringey 030B,N64AA,N64A
England,Haringey 030B,N64AZ,N64A
England,Haringey 030B,N64AX,N64A
England,Haringey 030B,N64AG,N64A
England,Haringey 030B,N64AL,N64A
England,Haringey 030B,N64AT,N64A
England,Haringey 030C,N64AE,N64A
England,Haringey 030C,N64AH,N64A
England,Haringey 030C,N64AD,N64A
England,Haringey 030B,N64AW,N64A
England,Haringey 030B,N64AU,N64A
England,Haringey 030B,N64AY,N64A
England,Haringey 030C,N64AN,N64A
England,Haringey 030C,N64AJ,N64A
