Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Islington 015D,N79GU,N79G
England,Islington 015E,N79GH,N79G
England,Islington 015D,N79GL,N79G
England,Islington 011D,N79GD,N79G
England,Islington 015E,N79GJ,N79G
England,Islington 015D,N79GR,N79G
England,Islington 011C,N79GA,N79G
England,Islington 015E,N79GQ,N79G
England,Islington 011D,N79GB,N79G
England,Islington 015D,N79GX,N79G
England,Islington 015D,N79GN,N79G
England,Islington 015D,N79GS,N79G
England,Islington 015D,N79GT,N79G
England,Islington 015E,N79GP,N79G
