Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Haringey 020B,N87NX,N87N
England,Haringey 022A,N87NB,N87N
England,Haringey 022A,N87NE,N87N
England,Haringey 020E,N87NU,N87N
England,Haringey 020E,N87NP,N87N
England,Haringey 022A,N87NG,N87N
England,Haringey 020E,N87NJ,N87N
England,Haringey 020B,N87NS,N87N
England,Haringey 022A,N87ND,N87N
England,Haringey 020E,N87NH,N87N
England,Haringey 020B,N87NN,N87N
England,Haringey 020E,N87NL,N87N
England,Haringey 022A,N87NA,N87N
England,Haringey 020E,N87NT,N87N
