Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Northumberland 003F,NE716BZ,NE71
England,Northumberland 003F,NE716BU,NE71
England,Northumberland 003B,NE716TN,NE71
England,Northumberland 003C,NE716TL,NE71
England,Northumberland 003F,NE716PE,NE71
England,Northumberland 003F,NE716DL,NE71
England,Northumberland 003C,NE716HL,NE71
England,Northumberland 003F,NE716DA,NE71
England,Northumberland 003B,NE716TD,NE71
England,Northumberland 003F,NE716DU,NE71
England,Northumberland 003B,NE716SY,NE71
England,Northumberland 003F,NE716LD,NE71
England,Northumberland 003B,NE716ER,NE71
England,Northumberland 003F,NE716DJ,NE71
England,Northumberland 003F,NE716EA,NE71
England,Northumberland 003B,NE716EU,NE71
England,Northumberland 003C,NE716TH,NE71
England,Northumberland 003C,NE716AR,NE71
England,Northumberland 003F,NE716DR,NE71
England,Northumberland 003F,NE716QQ,NE71
England,Northumberland 003F,NE716RL,NE71
England,Northumberland 003B,NE716ED,NE71
England,Northumberland 003B,NE716QU,NE71
England,Northumberland 003C,NE716HD,NE71
England,Northumberland 003C,NE716HW,NE71
England,Northumberland 003F,NE716NP,NE71
England,Northumberland 003C,NE716JN,NE71
England,Northumberland 003C,NE716JG,NE71
England,Northumberland 003B,NE716XH,NE71
England,Northumberland 003B,NE716RE,NE71
England,Northumberland 003B,NE716QZ,NE71
England,Northumberland 003F,NE716BW,NE71
England,Northumberland 003B,NE716XA,NE71
England,Northumberland 003B,NE716TT,NE71
England,Northumberland 003F,NE716NF,NE71
England,Northumberland 003F,NE716BL,NE71
England,Northumberland 003F,NE716BE,NE71
England,Northumberland 003C,NE716EZ,NE71
England,Northumberland 003F,NE716RP,NE71
England,Northumberland 003B,NE716QS,NE71
England,Northumberland 003F,NE716DQ,NE71
England,Northumberland 003C,NE716HX,NE71
England,Northumberland 003F,NE716LP,NE71
England,Northumberland 003B,NE716XN,NE71
England,Northumberland 003B,NE716XP,NE71
England,Northumberland 003F,NE716NB,NE71
England,Northumberland 003F,NE716AG,NE71
England,Northumberland 003C,NE716AL,NE71
England,Northumberland 003F,NE716AF,NE71
England,Northumberland 003B,NE716QR,NE71
England,Northumberland 003B,NE716TR,NE71
England,Northumberland 003F,NE716QG,NE71
England,Northumberland 003B,NE716QY,NE71
England,Northumberland 003F,NE716LA,NE71
England,Northumberland 003F,NE716EQ,NE71
England,Northumberland 003F,NE716AY,NE71
England,Northumberland 003F,NE716AD,NE71
England,Northumberland 003B,NE716EX,NE71
England,Northumberland 003B,NE716TW,NE71
England,Northumberland 003F,NE716NW,NE71
England,Northumberland 003C,NE716TJ,NE71
England,Northumberland 003C,NE716AU,NE71
England,Northumberland 003C,NE716HR,NE71
England,Northumberland 003F,NE716SP,NE71
England,Northumberland 003B,NE716QW,NE71
England,Northumberland 003F,NE716NA,NE71
England,Northumberland 003B,NE716QN,NE71
England,Northumberland 003F,NE716AE,NE71
England,Northumberland 003B,NE716XD,NE71
England,Northumberland 003B,NE716XW,NE71
England,Northumberland 003C,NE716TG,NE71
England,Northumberland 003B,NE716RB,NE71
England,Northumberland 003F,NE716BG,NE71
England,Northumberland 003B,NE716TA,NE71
England,Northumberland 003F,NE716PB,NE71
England,Northumberland 003B,NE716QL,NE71
England,Northumberland 003C,NE716HN,NE71
England,Northumberland 003F,NE716LQ,NE71
England,Northumberland 003F,NE716SN,NE71
England,Northumberland 003B,NE716HG,NE71
England,Northumberland 003B,NE716SZ,NE71
England,Northumberland 003B,NE716EN,NE71
England,Northumberland 003F,NE716DT,NE71
England,Northumberland 003C,NE716TQ,NE71
England,Northumberland 003F,NE716RH,NE71
England,Northumberland 003F,NE716AS,NE71
England,Northumberland 003F,NE716AW,NE71
England,Northumberland 003B,NE716XQ,NE71
England,Northumberland 003F,NE716BT,NE71
England,Northumberland 003B,NE716EY,NE71
England,Northumberland 003C,NE716HE,NE71
England,Northumberland 003B,NE716TU,NE71
England,Northumberland 003F,NE716AT,NE71
England,Northumberland 003B,NE716RA,NE71
England,Northumberland 003C,NE716JE,NE71
England,Northumberland 003C,NE716HP,NE71
England,Northumberland 003C,NE716HS,NE71
England,Northumberland 003B,NE716XB,NE71
England,Northumberland 003F,NE716QE,NE71
England,Northumberland 003F,NE716NE,NE71
England,Northumberland 003B,NE716QP,NE71
England,Northumberland 003C,NE716JD,NE71
England,Northumberland 003C,NE716JJ,NE71
England,Northumberland 003C,NE716HT,NE71
England,Northumberland 003F,NE716AX,NE71
England,Northumberland 003C,NE716JH,NE71
England,Northumberland 003C,NE716HU,NE71
England,Northumberland 003F,NE716LS,NE71
England,Northumberland 003B,NE716ST,NE71
England,Northumberland 003F,NE716NR,NE71
England,Northumberland 003C,NE716JA,NE71
England,Northumberland 003F,NE716NL,NE71
England,Northumberland 003B,NE716QT,NE71
England,Northumberland 003F,NE716LH,NE71
England,Northumberland 003F,NE716BD,NE71
England,Northumberland 003B,NE716EW,NE71
England,Northumberland 003F,NE716AA,NE71
England,Northumberland 003F,NE716LN,NE71
England,Northumberland 003B,NE716XJ,NE71
England,Northumberland 003B,NE716ES,NE71
England,Northumberland 003F,NE716DX,NE71
England,Northumberland 003F,NE716NY,NE71
England,Northumberland 003F,NE716BP,NE71
England,Northumberland 003B,NE716TB,NE71
England,Northumberland 003F,NE716NT,NE71
England,Northumberland 003B,NE716RF,NE71
England,Northumberland 003C,NE716JW,NE71
England,Northumberland 003F,NE716DG,NE71
England,Northumberland 003B,NE716QX,NE71
England,Northumberland 003B,NE716EP,NE71
England,Northumberland 003C,NE716JB,NE71
England,Northumberland 003B,NE716HQ,NE71
England,Northumberland 003C,NE716HY,NE71
England,Northumberland 003B,NE716ET,NE71
England,Northumberland 003F,NE716BJ,NE71
England,Northumberland 003C,NE716JQ,NE71
England,Northumberland 003F,NE716LE,NE71
England,Northumberland 003F,NE716NJ,NE71
England,Northumberland 003B,NE716XR,NE71
England,Northumberland 003F,NE716QF,NE71
England,Northumberland 003B,NE716SU,NE71
England,Northumberland 003B,NE716AQ,NE71
England,Northumberland 003F,NE716NU,NE71
England,Northumberland 003B,NE716QJ,NE71
England,Northumberland 003F,NE716LZ,NE71
England,Northumberland 003F,NE716DZ,NE71
England,Northumberland 003B,NE716TS,NE71
England,Northumberland 003B,NE716TP,NE71
England,Northumberland 003F,NE716DB,NE71
England,Northumberland 003B,NE716XE,NE71
England,Northumberland 003F,NE716NS,NE71
England,Northumberland 003C,NE716TF,NE71
England,Northumberland 003F,NE716EB,NE71
England,Northumberland 003B,NE716RG,NE71
England,Northumberland 003F,NE716BH,NE71
England,Northumberland 003F,NE716DW,NE71
England,Northumberland 003C,NE716HJ,NE71
England,Northumberland 003F,NE716PA,NE71
England,Northumberland 003B,NE716SX,NE71
England,Northumberland 003F,NE716LF,NE71
England,Northumberland 003F,NE716DN,NE71
England,Northumberland 003F,NE716LW,NE71
England,Northumberland 003B,NE716RN,NE71
England,Northumberland 003F,NE716BY,NE71
England,Northumberland 003F,NE716AH,NE71
England,Northumberland 003B,NE716XL,NE71
England,Northumberland 003F,NE716DY,NE71
England,Northumberland 003F,NE716NZ,NE71
England,Northumberland 003C,NE716AN,NE71
England,Northumberland 003C,NE716JF,NE71
England,Northumberland 003C,NE716JL,NE71
England,Northumberland 003B,NE716XG,NE71
England,Northumberland 003F,NE716PD,NE71
England,Northumberland 003F,NE716AJ,NE71
England,Northumberland 003F,NE716AB,NE71
England,Northumberland 003B,NE716XF,NE71
England,Northumberland 003B,NE716RD,NE71
England,Northumberland 003C,NE716HH,NE71
England,Northumberland 003F,NE716EE,NE71
England,Northumberland 003F,NE716SL,NE71
England,Northumberland 003B,NE716EL,NE71
England,Northumberland 003B,NE716HF,NE71
England,Northumberland 003F,NE716RJ,NE71
England,Northumberland 003B,NE716RW,NE71
