Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Northampton 021C,NN44EY,NN44
England,Northampton 021C,NN44TX,NN44
England,Northampton 021C,NN44FQ,NN44
England,Northampton 021C,NN44FF,NN44
England,Northampton 021C,NN44EE,NN44
England,Northampton 021C,NN44YP,NN44
England,Northampton 021C,NN44FZ,NN44
England,Northampton 021C,NN44FG,NN44
England,Northampton 021C,NN44FR,NN44
England,Northampton 021C,NN44AX,NN44
England,Northampton 021C,NN44FL,NN44
England,Northampton 021C,NN44DB,NN44
England,Northampton 021C,NN44DX,NN44
England,Northampton 021C,NN44FT,NN44
England,Northampton 021C,NN44FH,NN44
England,Northampton 021C,NN44BA,NN44
England,Northampton 021C,NN44FA,NN44
England,Northampton 021C,NN44EB,NN44
England,Northampton 021C,NN44DF,NN44
England,Northampton 021C,NN44BQ,NN44
England,Northampton 021C,NN44FJ,NN44
England,Northampton 021C,NN44DG,NN44
England,Northampton 021C,NN44AA,NN44
England,Northampton 021C,NN44FS,NN44
England,Northampton 021C,NN44AZ,NN44
England,Northampton 021C,NN44EP,NN44
England,Northampton 021C,NN44FY,NN44
England,Northampton 021C,NN44EN,NN44
England,Northampton 021C,NN44DN,NN44
England,Northampton 021C,NN44EH,NN44
England,Northampton 021C,NN44EZ,NN44
England,Northampton 021C,NN44FN,NN44
England,Northampton 021C,NN44AQ,NN44
England,Northampton 021C,NN44GB,NN44
England,Northampton 021C,NN44FE,NN44
England,Northampton 021C,NN44EX,NN44
