Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Westminster 001A,NW86AD,NW86
England,Camden 017C,NW86RG,NW86
England,Camden 017D,NW86BP,NW86
England,Camden 017C,NW86JB,NW86
England,Camden 017C,NW86RA,NW86
England,Westminster 001B,NW86NS,NW86
England,Westminster 001B,NW86NR,NW86
England,Westminster 001A,NW86AA,NW86
England,Westminster 001A,NW86QA,NW86
England,Westminster 001A,NW86LP,NW86
England,Westminster 001B,NW86AF,NW86
England,Westminster 001B,NW86DP,NW86
England,Westminster 001D,NW86LB,NW86
England,Westminster 001B,NW86DW,NW86
England,Westminster 001A,NW86HR,NW86
England,Westminster 001B,NW86EP,NW86
England,Westminster 001B,NW86EU,NW86
England,Camden 017D,NW86DB,NW86
England,Camden 017D,NW86JD,NW86
England,Camden 017C,NW86NH,NW86
England,Westminster 001B,NW86BJ,NW86
England,Westminster 001A,NW86HG,NW86
England,Camden 017C,NW86QY,NW86
England,Westminster 001A,NW86JP,NW86
England,Westminster 001A,NW86PD,NW86
England,Westminster 001A,NW86LS,NW86
England,Westminster 001A,NW86PY,NW86
England,Westminster 001B,NW86EX,NW86
England,Westminster 001A,NW86QD,NW86
England,Westminster 001B,NW86ES,NW86
England,Westminster 001A,NW86LL,NW86
England,Camden 017C,NW86HY,NW86
England,Westminster 001B,NW86EA,NW86
England,Westminster 001A,NW86JT,NW86
England,Westminster 001A,NW86AP,NW86
England,Westminster 001B,NW86ET,NW86
England,Camden 017C,NW86RD,NW86
England,Westminster 001A,NW86JY,NW86
England,Westminster 001A,NW86JU,NW86
England,Westminster 001A,NW86LA,NW86
England,Westminster 001A,NW86QE,NW86
England,Camden 017C,NW86RE,NW86
England,Westminster 001A,NW86PR,NW86
England,Camden 017D,NW86BX,NW86
England,Westminster 001A,NW86PE,NW86
England,Westminster 001A,NW86JX,NW86
England,Camden 017C,NW86QX,NW86
England,Camden 017C,NW86NJ,NW86
England,Westminster 001A,NW86LF,NW86
England,Westminster 001A,NW86LR,NW86
England,Westminster 001B,NW86QR,NW86
England,Camden 017C,NW86RL,NW86
England,Westminster 001B,NW86DX,NW86
England,Westminster 001A,NW86AT,NW86
England,Westminster 001B,NW86DR,NW86
England,Camden 017C,NW86RN,NW86
England,Westminster 001A,NW86BN,NW86
England,Camden 017C,NW86NT,NW86
England,Westminster 001B,NW86EL,NW86
England,Westminster 001A,NW86BS,NW86
England,Camden 017C,NW86HN,NW86
England,Westminster 001A,NW86PF,NW86
England,Westminster 001C,NW86NX,NW86
England,Westminster 001B,NW86AG,NW86
England,Camden 017C,NW86ND,NW86
England,Westminster 001A,NW86LJ,NW86
England,Westminster 001A,NW86PN,NW86
England,Westminster 001C,NW86NY,NW86
England,Westminster 003C,NW86PB,NW86
England,Brent 034B,NW86WB,NW86
England,Westminster 001A,NW86AY,NW86
England,Camden 017C,NW86QU,NW86
England,Westminster 001B,NW86EB,NW86
