Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Oldham 021B,OL45RN,OL45
England,Oldham 026A,OL45NL,OL45
England,Oldham 019B,OL45HQ,OL45
England,Oldham 021B,OL45RP,OL45
England,Oldham 026F,OL45QG,OL45
England,Oldham 019B,OL45JE,OL45
England,Oldham 019B,OL45JZ,OL45
England,Oldham 021C,OL45SR,OL45
England,Oldham 026F,OL45PG,OL45
England,Oldham 021B,OL45RL,OL45
England,Oldham 026E,OL45BW,OL45
England,Oldham 026E,OL45AF,OL45
England,Oldham 026E,OL45BG,OL45
England,Oldham 019B,OL45ES,OL45
England,Oldham 019B,OL45LB,OL45
England,Oldham 021C,OL45TN,OL45
England,Oldham 022E,OL45LA,OL45
England,Oldham 021B,OL45SU,OL45
England,Oldham 026F,OL45QJ,OL45
England,Oldham 026F,OL45NR,OL45
England,Oldham 021B,OL45RH,OL45
England,Oldham 021B,OL45TT,OL45
England,Oldham 021B,OL45RZ,OL45
England,Oldham 019B,OL45ET,OL45
England,Oldham 026E,OL45BJ,OL45
England,Oldham 019B,OL45JG,OL45
England,Oldham 021B,OL45SQ,OL45
England,Oldham 026E,OL45AJ,OL45
England,Oldham 019B,OL45JU,OL45
England,Oldham 021C,OL45TF,OL45
England,Oldham 019B,OL45EU,OL45
England,Oldham 021B,OL45RE,OL45
England,Oldham 021C,OL45TE,OL45
England,Oldham 022E,OL45LD,OL45
England,Oldham 018C,OL45RW,OL45
England,Oldham 021D,OL45UA,OL45
England,Oldham 026F,OL45BP,OL45
England,Oldham 026F,OL45QA,OL45
England,Oldham 026F,OL45PJ,OL45
England,Oldham 018C,OL45AA,OL45
England,Oldham 018C,OL45QH,OL45
England,Oldham 026E,OL45DW,OL45
England,Oldham 026F,OL45NP,OL45
England,Oldham 026E,OL45BX,OL45
England,Oldham 022E,OL45LH,OL45
England,Oldham 021B,OL45QN,OL45
England,Oldham 026F,OL45QD,OL45
England,Oldham 026A,OL45NF,OL45
England,Oldham 026A,OL45NH,OL45
England,Oldham 018C,OL45AR,OL45
England,Oldham 018C,OL45AP,OL45
England,Oldham 018C,OL45QL,OL45
England,Oldham 018C,OL45ED,OL45
England,Oldham 026E,OL45BT,OL45
England,Oldham 021C,OL45SX,OL45
England,Oldham 018C,OL45DU,OL45
England,Oldham 019B,OL45HD,OL45
England,Oldham 019B,OL45EP,OL45
England,Oldham 026E,OL45BH,OL45
England,Oldham 018C,OL45DJ,OL45
England,Oldham 019B,OL45HN,OL45
England,Oldham 021C,OL45ST,OL45
England,Oldham 026E,OL45DX,OL45
England,Oldham 026E,OL45BD,OL45
England,Oldham 018C,OL45PN,OL45
England,Oldham 021B,OL45QZ,OL45
England,Oldham 026F,OL45NU,OL45
England,Oldham 019B,OL45HT,OL45
England,Oldham 026E,OL45BL,OL45
England,Oldham 019B,OL45HW,OL45
England,Oldham 019B,OL45JA,OL45
England,Oldham 019B,OL45JL,OL45
England,Oldham 026A,OL45NJ,OL45
England,Oldham 026F,OL45PH,OL45
England,Oldham 026E,OL45BS,OL45
England,Oldham 021C,OL45TD,OL45
England,Oldham 019B,OL45LG,OL45
England,Oldham 019B,OL45EX,OL45
England,Oldham 026F,OL45PZ,OL45
England,Oldham 021B,OL45QX,OL45
England,Oldham 026E,OL45AD,OL45
England,Oldham 026F,OL45QB,OL45
England,Oldham 026E,OL45AY,OL45
England,Oldham 021C,OL45TP,OL45
England,Oldham 021D,OL45DE,OL45
England,Oldham 021C,OL45SD,OL45
England,Oldham 018C,OL45AL,OL45
England,Oldham 021D,OL45SZ,OL45
England,Oldham 018C,OL45PR,OL45
England,Oldham 026D,OL45RS,OL45
England,Oldham 019B,OL45HF,OL45
England,Oldham 018C,OL45DL,OL45
England,Oldham 021B,OL45SF,OL45
England,Oldham 021B,OL45QT,OL45
England,Oldham 022E,OL45LE,OL45
England,Oldham 018C,OL45AX,OL45
England,Oldham 019B,OL45HL,OL45
England,Oldham 021B,OL45RA,OL45
England,Oldham 018C,OL45EG,OL45
England,Oldham 021C,OL45TA,OL45
England,Oldham 018C,OL45PU,OL45
England,Oldham 026A,OL45NG,OL45
England,Oldham 018C,OL45PW,OL45
England,Oldham 018C,OL45PS,OL45
England,Oldham 026F,OL45PB,OL45
England,Oldham 021C,OL45UB,OL45
England,Oldham 021C,OL45TH,OL45
England,Oldham 026F,OL45QF,OL45
England,Oldham 021D,OL45SJ,OL45
England,Oldham 026A,OL45NB,OL45
England,Oldham 019B,OL45JB,OL45
England,Oldham 019B,OL45JY,OL45
England,Oldham 021B,OL45SH,OL45
England,Oldham 026E,OL45BY,OL45
England,Oldham 021B,OL45SG,OL45
England,Oldham 021C,OL45JJ,OL45
England,Oldham 021C,OL45TL,OL45
England,Oldham 026D,OL45RT,OL45
England,Oldham 026F,OL45NZ,OL45
England,Oldham 026E,OL45AZ,OL45
England,Oldham 019B,OL45JF,OL45
England,Oldham 018C,OL45PX,OL45
England,Oldham 026F,OL45NS,OL45
England,Oldham 026E,OL45BE,OL45
England,Oldham 026A,OL45NE,OL45
England,Oldham 026A,OL45DD,OL45
England,Oldham 018C,OL45DH,OL45
England,Oldham 019B,OL45HE,OL45
England,Oldham 026E,OL45BN,OL45
England,Oldham 018C,OL45AN,OL45
England,Oldham 026A,OL45LY,OL45
England,Oldham 026E,OL45BB,OL45
England,Oldham 026E,OL45BU,OL45
England,Oldham 018C,OL45RX,OL45
England,Oldham 021D,OL45TS,OL45
England,Oldham 019B,OL45LN,OL45
England,Oldham 021D,OL45SN,OL45
England,Oldham 021D,OL45SL,OL45
England,Oldham 019B,OL45HY,OL45
England,Oldham 021B,OL45JH,OL45
England,Oldham 018C,OL45PE,OL45
England,Oldham 021C,OL45TG,OL45
England,Oldham 021B,OL45RF,OL45
England,Oldham 021C,OL45DR,OL45
England,Oldham 018C,OL45RU,OL45
England,Oldham 018C,OL45PT,OL45
England,Oldham 018C,OL45AW,OL45
England,Oldham 021D,OL45TY,OL45
England,Oldham 021B,OL45QS,OL45
England,Oldham 021B,OL45RG,OL45
England,Oldham 018C,OL45EE,OL45
England,Oldham 026F,OL45NY,OL45
England,Oldham 026D,OL45RR,OL45
England,Oldham 026F,OL45QE,OL45
England,Oldham 019B,OL45HH,OL45
England,Oldham 026F,OL45NT,OL45
England,Oldham 026A,OL45NQ,OL45
England,Oldham 026E,OL45BZ,OL45
England,Oldham 021B,OL45RJ,OL45
England,Oldham 019B,OL45HR,OL45
England,Oldham 019B,OL45LF,OL45
England,Oldham 026A,OL45PA,OL45
England,Oldham 026A,OL45NW,OL45
England,Oldham 019B,OL45HG,OL45
England,Oldham 019B,OL45HS,OL45
England,Oldham 018C,OL45DB,OL45
England,Oldham 018C,OL45DF,OL45
England,Oldham 018C,OL45DA,OL45
England,Oldham 021A,OL45TX,OL45
England,Oldham 021B,OL45QY,OL45
England,Oldham 019B,OL45HJ,OL45
England,Oldham 021C,OL45SB,OL45
England,Oldham 021C,OL45TQ,OL45
England,Oldham 019B,OL45EY,OL45
England,Oldham 019B,OL45HB,OL45
England,Oldham 021B,OL45RB,OL45
England,Oldham 018C,OL45UD,OL45
England,Oldham 021C,OL45TJ,OL45
England,Oldham 019B,OL45LL,OL45
England,Oldham 018C,OL45PY,OL45
England,Oldham 026E,OL45AE,OL45
England,Oldham 021B,OL45QW,OL45
England,Oldham 021C,OL45SY,OL45
England,Oldham 018C,OL45DN,OL45
England,Oldham 021B,OL45RQ,OL45
England,Oldham 026A,OL45NA,OL45
England,Oldham 026E,OL45BQ,OL45
England,Oldham 026E,OL45BA,OL45
England,Oldham 021B,OL45SE,OL45
England,Oldham 021B,OL45RD,OL45
England,Oldham 018C,OL45DG,OL45
England,Oldham 021C,OL45DT,OL45
England,Oldham 021C,OL45DP,OL45
England,Oldham 018C,OL45AQ,OL45
England,Oldham 026E,OL45AS,OL45
England,Oldham 019B,OL45JQ,OL45
England,Oldham 026E,OL45AG,OL45
England,Oldham 026F,OL45QQ,OL45
England,Oldham 026A,OL45LX,OL45
England,Oldham 026F,OL45NX,OL45
England,Oldham 018C,OL45PF,OL45
England,Oldham 019B,OL45HZ,OL45
England,Oldham 026A,OL45ND,OL45
England,Oldham 018C,OL45AB,OL45
England,Oldham 018C,OL45RY,OL45
England,Oldham 018C,OL45AH,OL45
England,Oldham 021B,OL45QU,OL45
England,Oldham 019B,OL45LJ,OL45
England,Oldham 026F,OL45PL,OL45
England,Oldham 021C,OL45TW,OL45
England,Oldham 021C,OL45SA,OL45
England,Oldham 021D,OL45SP,OL45
England,Oldham 018C,OL45AT,OL45
England,Oldham 026F,OL45PD,OL45
England,Oldham 021C,OL45TR,OL45
England,Oldham 018C,OL45EB,OL45
England,Oldham 018C,OL45PP,OL45
England,Oldham 021D,OL45SW,OL45
England,Oldham 019B,OL45JX,OL45
England,Oldham 026F,OL45PQ,OL45
England,Oldham 021C,OL45TB,OL45
England,Oldham 018C,OL45EA,OL45
