Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Cherwell 016C,OX53HA,OX53
England,Cherwell 016C,OX53BS,OX53
England,Cherwell 016C,OX53HD,OX53
England,Cherwell 016C,OX53DD,OX53
England,Cherwell 016C,OX53AX,OX53
England,West Oxfordshire 004G,OX53BD,OX53
England,Cherwell 016B,OX53DS,OX53
England,Cherwell 016C,OX53BT,OX53
England,Cherwell 016B,OX53HS,OX53
England,West Oxfordshire 004G,OX53AB,OX53
England,Cherwell 016C,OX53BZ,OX53
England,Cherwell 016B,OX53EA,OX53
England,Cherwell 016B,OX53HL,OX53
England,Cherwell 016C,OX53NA,OX53
England,West Oxfordshire 004G,OX53AW,OX53
England,Cherwell 016B,OX53DH,OX53
England,West Oxfordshire 004G,OX53BL,OX53
England,West Oxfordshire 004G,OX53EJ,OX53
England,Cherwell 016B,OX53DU,OX53
England,West Oxfordshire 004G,OX53AZ,OX53
England,West Oxfordshire 004G,OX53AL,OX53
England,West Oxfordshire 004G,OX53BG,OX53
England,Cherwell 017D,OX53WA,OX53
England,West Oxfordshire 004G,OX53AQ,OX53
England,West Oxfordshire 004G,OX53BB,OX53
England,West Oxfordshire 004G,OX53BN,OX53
England,West Oxfordshire 004G,OX53ER,OX53
England,West Oxfordshire 004G,OX53BH,OX53
England,Cherwell 016B,OX53JA,OX53
England,Cherwell 016C,OX53DW,OX53
England,Cherwell 016C,OX53HE,OX53
England,Cherwell 016B,OX53JR,OX53
England,Cherwell 016C,OX53BU,OX53
England,West Oxfordshire 004G,OX53AF,OX53
England,Cherwell 016B,OX53HW,OX53
England,Cherwell 016B,OX53JG,OX53
England,Cherwell 016F,OX53DT,OX53
England,Cherwell 016B,OX53JW,OX53
England,Cherwell 016C,OX53HG,OX53
England,Cherwell 016B,OX53JL,OX53
England,Cherwell 017D,OX53WZ,OX53
England,Cherwell 016B,OX53JH,OX53
England,Cherwell 016C,OX53HQ,OX53
England,West Oxfordshire 004G,OX53AT,OX53
England,Cherwell 016C,OX53EB,OX53
England,Cherwell 016C,OX53DB,OX53
England,West Oxfordshire 004G,OX53AH,OX53
England,Cherwell 016B,OX53DA,OX53
England,Cherwell 016C,OX53DE,OX53
England,Cherwell 016B,OX53JZ,OX53
England,Cherwell 016C,OX53BY,OX53
England,Cherwell 016C,OX53EX,OX53
England,West Oxfordshire 004G,OX53AP,OX53
England,Cherwell 016C,OX53EL,OX53
England,Cherwell 016B,OX53JT,OX53
England,Cherwell 016C,OX53BX,OX53
England,West Oxfordshire 004G,OX53BW,OX53
England,West Oxfordshire 004G,OX53AG,OX53
England,Cherwell 016B,OX53JU,OX53
England,West Oxfordshire 004G,OX53AR,OX53
England,Cherwell 016B,OX53DL,OX53
England,Cherwell 016B,OX53NH,OX53
England,Cherwell 016B,OX53HY,OX53
England,West Oxfordshire 004G,OX53BJ,OX53
England,Cherwell 016C,OX53HH,OX53
England,Cherwell 016B,OX53JQ,OX53
England,West Oxfordshire 004G,OX53AD,OX53
England,West Oxfordshire 004G,OX53AS,OX53
England,West Oxfordshire 004G,OX53AN,OX53
England,Cherwell 016C,OX53ET,OX53
England,West Oxfordshire 004G,OX53EN,OX53
England,Cherwell 016B,OX53DY,OX53
England,West Oxfordshire 004G,OX53AA,OX53
England,Cherwell 016C,OX53AY,OX53
England,Cherwell 016B,OX53EU,OX53
England,Cherwell 016B,OX53JX,OX53
England,Cherwell 016B,OX53DR,OX53
England,Cherwell 016C,OX53HF,OX53
England,Cherwell 016B,OX53HN,OX53
England,West Oxfordshire 004G,OX53EP,OX53
England,West Oxfordshire 004G,OX53AE,OX53
England,Cherwell 016B,OX53HZ,OX53
England,Cherwell 016C,OX53ES,OX53
England,Cherwell 016B,OX53JB,OX53
England,Cherwell 016B,OX53JN,OX53
England,Cherwell 016B,OX53HU,OX53
England,West Oxfordshire 004G,OX53AU,OX53
England,Cherwell 016C,OX53BA,OX53
England,Cherwell 016B,OX53DZ,OX53
England,Cherwell 016C,OX53DG,OX53
England,Cherwell 016B,OX53DX,OX53
England,Cherwell 016C,OX53DN,OX53
England,Cherwell 016B,OX53HX,OX53
England,Cherwell 016B,OX53JD,OX53
England,Cherwell 016B,OX53UB,OX53
England,Cherwell 016B,OX53JS,OX53
England,Cherwell 016B,OX53HR,OX53
England,Cherwell 016C,OX53DF,OX53
England,Cherwell 016C,OX53JY,OX53
England,West Oxfordshire 004G,OX53EW,OX53
England,Cherwell 016B,OX53HP,OX53
England,Cherwell 016B,OX53HJ,OX53
England,Cherwell 016C,OX53BQ,OX53
England,Cherwell 016B,OX53JJ,OX53
England,Cherwell 016B,OX53DQ,OX53
England,Cherwell 016B,OX53JP,OX53
England,Cherwell 016B,OX53HT,OX53
England,Cherwell 016C,OX53HB,OX53
England,Cherwell 016C,OX53EZ,OX53
England,West Oxfordshire 004G,OX53AJ,OX53
England,Cherwell 016B,OX53DP,OX53
England,West Oxfordshire 004G,OX53BE,OX53
England,Cherwell 017D,OX53EH,OX53
England,Cherwell 016B,OX53DJ,OX53
England,Cherwell 016B,OX53JF,OX53
