Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,South Kesteven 012A,PE94EG,PE94
England,Rutland 004D,PE94JA,PE94
England,South Kesteven 012D,PE94RW,PE94
England,Rutland 004D,PE94LF,PE94
England,South Kesteven 012A,PE94PY,PE94
England,South Kesteven 012A,PE94EA,PE94
England,Rutland 004E,PE94DP,PE94
England,South Kesteven 012D,PE94RH,PE94
England,South Kesteven 012A,PE94EB,PE94
England,Rutland 004E,PE94AA,PE94
England,South Kesteven 012D,PE94ST,PE94
England,South Kesteven 012A,PE94EE,PE94
England,Rutland 004D,PE94JP,PE94
England,Rutland 004D,PE94UU,PE94
England,South Kesteven 012A,PE94DS,PE94
England,South Kesteven 012A,PE94PE,PE94
England,South Kesteven 016D,PE94BS,PE94
England,Rutland 004D,PE94LJ,PE94
England,Rutland 004D,PE94HA,PE94
England,Rutland 004D,PE94NZ,PE94
England,Rutland 004E,PE94AR,PE94
England,South Kesteven 012D,PE94RS,PE94
England,South Kesteven 016D,PE94BG,PE94
England,South Kesteven 012A,PE94NN,PE94
England,Rutland 001C,PE94DH,PE94
England,Rutland 001D,PE94AQ,PE94
England,South Kesteven 012A,PE94LW,PE94
England,Rutland 004E,PE94EW,PE94
England,South Kesteven 012A,PE94NT,PE94
England,South Kesteven 012D,PE94RG,PE94
England,South Kesteven 012D,PE94QE,PE94
England,South Kesteven 012D,PE94TF,PE94
England,South Kesteven 012D,PE94SU,PE94
England,Rutland 004D,PE94HJ,PE94
England,Rutland 004D,PE94HR,PE94
England,Peterborough 006E,PE94WX,PE94
England,South Kesteven 012A,PE94QA,PE94
England,South Kesteven 012A,PE94PB,PE94
England,South Kesteven 012D,PE94TB,PE94
England,South Kesteven 012A,PE94PD,PE94
England,South Kesteven 012A,PE94PR,PE94
England,Rutland 004E,PE94AE,PE94
England,Rutland 004D,PE94UR,PE94
England,Rutland 001D,PE94AG,PE94
England,South Kesteven 012D,PE94RX,PE94
England,South Kesteven 016D,PE94BD,PE94
England,Rutland 004D,PE94LT,PE94
England,South Kesteven 012A,PE94QR,PE94
England,South Kesteven 016D,PE94BT,PE94
England,Rutland 004D,PE94HN,PE94
England,Rutland 004E,PE94DF,PE94
