Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,South Hams 009A,PL81BW,PL81
England,South Hams 009A,PL81HF,PL81
England,South Hams 009A,PL81JA,PL81
England,South Hams 009A,PL81DL,PL81
England,South Hams 009A,PL81ED,PL81
England,South Hams 009A,PL81DB,PL81
England,South Hams 009A,PL81DN,PL81
England,South Hams 009A,PL81EQ,PL81
England,South Hams 009A,PL81EJ,PL81
England,South Hams 009A,PL81BD,PL81
England,South Hams 009A,PL81AP,PL81
England,South Hams 009A,PL81HA,PL81
England,South Hams 009A,PL81BT,PL81
England,South Hams 008C,PL81JQ,PL81
England,South Hams 009A,PL81DG,PL81
England,South Hams 009A,PL81EH,PL81
England,South Hams 009A,PL81AU,PL81
England,South Hams 009A,PL81DJ,PL81
England,South Hams 009A,PL81EN,PL81
England,South Hams 008C,PL81JR,PL81
England,South Hams 008C,PL81NF,PL81
England,South Hams 009A,PL81BZ,PL81
England,South Hams 009A,PL81EL,PL81
England,South Hams 009A,PL81DE,PL81
England,South Hams 009A,PL81HS,PL81
England,South Hams 009A,PL81AS,PL81
England,South Hams 009A,PL81EA,PL81
England,South Hams 008C,PL81JH,PL81
England,South Hams 008C,PL81JJ,PL81
England,South Hams 009A,PL81EY,PL81
England,South Hams 008C,PL81JS,PL81
England,South Hams 009A,PL81BL,PL81
England,South Hams 009A,PL81AD,PL81
England,South Hams 009A,PL81EG,PL81
England,South Hams 009A,PL81AB,PL81
England,South Hams 009A,PL81AJ,PL81
England,South Hams 008C,PL81JZ,PL81
England,South Hams 009A,PL81EU,PL81
England,South Hams 008C,PL81LY,PL81
England,South Hams 008C,PL81LD,PL81
England,South Hams 009A,PL81EZ,PL81
England,South Hams 009A,PL81AZ,PL81
England,South Hams 009A,PL81HX,PL81
England,South Hams 008C,PL81LW,PL81
England,South Hams 009A,PL81EW,PL81
England,South Hams 008C,PL81LU,PL81
England,South Hams 008C,PL81LS,PL81
England,South Hams 008C,PL81LN,PL81
England,South Hams 008C,PL81JT,PL81
England,South Hams 008C,PL81NH,PL81
England,South Hams 009A,PL81AG,PL81
England,South Hams 009A,PL81DX,PL81
England,South Hams 008C,PL81HN,PL81
England,South Hams 009A,PL81HR,PL81
England,South Hams 009A,PL81BH,PL81
England,South Hams 009A,PL81BP,PL81
England,South Hams 009A,PL81BY,PL81
England,South Hams 009A,PL81AW,PL81
England,South Hams 008C,PL81LB,PL81
England,South Hams 009A,PL81AX,PL81
England,South Hams 008C,PL81JU,PL81
England,South Hams 009A,PL81AE,PL81
England,South Hams 009A,PL81AT,PL81
England,South Hams 008C,PL81LL,PL81
England,South Hams 008C,PL81LX,PL81
England,South Hams 008C,PL81LF,PL81
England,South Hams 008C,PL81NG,PL81
England,South Hams 009A,PL81DH,PL81
England,South Hams 009A,PL81HZ,PL81
England,South Hams 009A,PL81AL,PL81
England,South Hams 008C,PL81HL,PL81
England,South Hams 009A,PL81DS,PL81
England,South Hams 009A,PL81EF,PL81
England,South Hams 008C,PL81NQ,PL81
England,South Hams 008C,PL81JP,PL81
England,South Hams 009A,PL81EB,PL81
England,South Hams 008C,PL81JN,PL81
England,South Hams 009A,PL81AH,PL81
England,South Hams 008C,PL81JW,PL81
England,South Hams 009A,PL81DZ,PL81
England,South Hams 009A,PL81DP,PL81
England,South Hams 009A,PL81HU,PL81
England,South Hams 009A,PL81BN,PL81
England,South Hams 009A,PL81EX,PL81
England,South Hams 008C,PL81NJ,PL81
England,South Hams 009A,PL81DA,PL81
England,South Hams 009A,PL81BA,PL81
England,South Hams 008C,PL81LP,PL81
England,South Hams 008C,PL81ND,PL81
England,South Hams 008C,PL81JL,PL81
England,South Hams 008C,PL81JY,PL81
England,South Hams 009A,PL81HY,PL81
England,South Hams 009A,PL81DT,PL81
England,South Hams 009A,PL81BG,PL81
England,South Hams 008C,PL81LH,PL81
England,South Hams 009A,PL81HP,PL81
England,South Hams 008C,PL81NB,PL81
England,South Hams 009A,PL81BX,PL81
England,South Hams 009A,PL81JG,PL81
England,South Hams 009A,PL81BQ,PL81
England,South Hams 009A,PL81HT,PL81
England,South Hams 008C,PL81LT,PL81
England,South Hams 009A,PL81DD,PL81
England,South Hams 008C,PL81LJ,PL81
England,Plymouth 031A,PL81XR,PL81
England,South Hams 009A,PL81AR,PL81
England,South Hams 009A,PL81BE,PL81
England,South Hams 008C,PL81HH,PL81
England,South Hams 009A,PL81DW,PL81
England,South Hams 008C,PL81LZ,PL81
England,South Hams 008C,PL81BS,PL81
England,South Hams 009A,PL81AA,PL81
England,South Hams 009A,PL81BJ,PL81
England,Plymouth 031A,PL81YJ,PL81
England,South Hams 009A,PL81HG,PL81
England,South Hams 008C,PL81LR,PL81
England,South Hams 009A,PL81DY,PL81
England,South Hams 008C,PL81HW,PL81
England,South Hams 008C,PL81LE,PL81
England,South Hams 008C,PL81NE,PL81
England,South Hams 009A,PL81DQ,PL81
England,South Hams 009A,PL81HQ,PL81
England,South Hams 009A,PL81HB,PL81
England,South Hams 009A,PL81AY,PL81
England,South Hams 008C,PL81HJ,PL81
England,South Hams 008C,PL81JX,PL81
England,South Hams 008C,PL81NA,PL81
England,South Hams 009A,PL81AQ,PL81
England,South Hams 009A,PL81AN,PL81
England,South Hams 009A,PL81HE,PL81
England,South Hams 009A,PL81DR,PL81
England,South Hams 009A,PL81EE,PL81
