Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Portsmouth 003A,PO62QU,PO62
England,Portsmouth 006D,PO62UP,PO62
England,Portsmouth 003A,PO62JH,PO62
England,Portsmouth 006E,PO62HD,PO62
England,Portsmouth 006D,PO62BW,PO62
England,Portsmouth 006C,PO62SY,PO62
England,Portsmouth 003A,PO62DP,PO62
England,Portsmouth 006B,PO62PX,PO62
England,Portsmouth 006A,PO62QP,PO62
England,Portsmouth 003C,PO62JB,PO62
England,Portsmouth 006D,PO62RY,PO62
England,Portsmouth 003D,PO62LT,PO62
England,Portsmouth 006C,PO62RL,PO62
England,Portsmouth 006E,PO62NS,PO62
England,Portsmouth 003C,PO62AQ,PO62
England,Portsmouth 006D,PO62DB,PO62
England,Portsmouth 003A,PO62SB,PO62
England,Portsmouth 003D,PO62EL,PO62
England,Portsmouth 006E,PO62LL,PO62
England,Portsmouth 006E,PO62NL,PO62
England,Portsmouth 006E,PO62NR,PO62
England,Portsmouth 006E,PO62HE,PO62
England,Portsmouth 006A,PO62PF,PO62
England,Portsmouth 003A,PO62DS,PO62
England,Portsmouth 006E,PO62NB,PO62
England,Portsmouth 006E,PO62HS,PO62
England,Portsmouth 006D,PO62TX,PO62
England,Portsmouth 003C,PO62BN,PO62
England,Portsmouth 003A,PO62SD,PO62
England,Portsmouth 006A,PO62EE,PO62
England,Portsmouth 006E,PO62LY,PO62
England,Portsmouth 003D,PO62JA,PO62
England,Portsmouth 003A,PO62RD,PO62
England,Portsmouth 006C,PO62SX,PO62
England,Portsmouth 006C,PO62RJ,PO62
England,Portsmouth 003D,PO62HL,PO62
England,Portsmouth 003C,PO62DU,PO62
England,Portsmouth 006D,PO62TT,PO62
England,Portsmouth 006D,PO62RP,PO62
England,Portsmouth 003A,PO62DD,PO62
England,Portsmouth 006B,PO62PY,PO62
England,Portsmouth 006C,PO62RS,PO62
England,Portsmouth 003A,PO62JF,PO62
England,Portsmouth 006C,PO62UH,PO62
England,Portsmouth 006E,PO62NP,PO62
England,Portsmouth 026A,PO62HU,PO62
England,Portsmouth 003C,PO62JN,PO62
England,Portsmouth 006A,PO62PL,PO62
England,Portsmouth 003D,PO62DE,PO62
England,Portsmouth 006C,PO62SP,PO62
England,Portsmouth 003A,PO62LD,PO62
England,Portsmouth 003C,PO62DX,PO62
England,Portsmouth 006D,PO62DA,PO62
England,Portsmouth 003C,PO62BQ,PO62
England,Portsmouth 003A,PO62QS,PO62
England,Portsmouth 004A,PO62ZJ,PO62
England,Portsmouth 003C,PO62BY,PO62
England,Portsmouth 006E,PO62ES,PO62
England,Portsmouth 003A,PO62LN,PO62
England,Portsmouth 003D,PO62AL,PO62
England,Portsmouth 006C,PO62UQ,PO62
England,Portsmouth 003C,PO62EB,PO62
England,Portsmouth 003D,PO62EW,PO62
England,Portsmouth 006D,PO62TU,PO62
England,Portsmouth 003D,PO62NG,PO62
England,Portsmouth 006C,PO62RR,PO62
England,Portsmouth 006A,PO62PJ,PO62
England,Portsmouth 006A,PO62EF,PO62
England,Portsmouth 003A,PO62JJ,PO62
England,Portsmouth 006A,PO62EG,PO62
England,Portsmouth 004A,PO62SN,PO62
England,Portsmouth 006A,PO62PH,PO62
England,Portsmouth 026A,PO62EN,PO62
England,Portsmouth 003D,PO62AJ,PO62
England,Portsmouth 006B,PO62TS,PO62
England,Portsmouth 003C,PO62BX,PO62
England,Portsmouth 006D,PO62AZ,PO62
England,Portsmouth 026A,PO62HR,PO62
England,Portsmouth 004A,PO62SG,PO62
England,Portsmouth 006E,PO62LX,PO62
England,Portsmouth 006E,PO62LB,PO62
England,Portsmouth 003C,PO62ED,PO62
England,Portsmouth 003D,PO62JS,PO62
England,Portsmouth 003C,PO62DT,PO62
England,Portsmouth 006B,PO62PS,PO62
England,Portsmouth 006C,PO62RT,PO62
England,Portsmouth 003C,PO62DY,PO62
England,Portsmouth 003A,PO62RA,PO62
England,Portsmouth 003A,PO62DR,PO62
England,Portsmouth 006A,PO62EQ,PO62
England,Portsmouth 002A,PO62PG,PO62
England,Portsmouth 003D,PO62JQ,PO62
England,Portsmouth 003D,PO62JG,PO62
England,Portsmouth 004A,PO62SW,PO62
England,Portsmouth 004A,PO62SA,PO62
England,Portsmouth 004A,PO62XQ,PO62
England,Portsmouth 002A,PO62PQ,PO62
England,Portsmouth 006E,PO62NE,PO62
England,Portsmouth 003C,PO62BG,PO62
England,Portsmouth 006D,PO62RZ,PO62
England,Portsmouth 004A,PO62SR,PO62
England,Portsmouth 003C,PO62JR,PO62
England,Portsmouth 006E,PO62NH,PO62
England,Portsmouth 004A,PO62SH,PO62
England,Portsmouth 003C,PO62BF,PO62
England,Portsmouth 006B,PO62QX,PO62
England,Portsmouth 003C,PO62BE,PO62
England,Portsmouth 003D,PO62AA,PO62
England,Portsmouth 003A,PO62QY,PO62
England,Portsmouth 002A,PO62AB,PO62
England,Portsmouth 006E,PO62LA,PO62
England,Portsmouth 006C,PO62UJ,PO62
England,Portsmouth 003A,PO62HZ,PO62
England,Portsmouth 006D,PO62TY,PO62
England,Portsmouth 003A,PO62DH,PO62
England,Portsmouth 006E,PO62NN,PO62
England,Portsmouth 002A,PO62TA,PO62
England,Portsmouth 006B,PO62JY,PO62
England,Portsmouth 006A,PO62QH,PO62
England,Portsmouth 006A,PO62TG,PO62
England,Portsmouth 006D,PO62UL,PO62
England,Portsmouth 003A,PO62DN,PO62
England,Portsmouth 004A,PO62TP,PO62
England,Portsmouth 006E,PO62EP,PO62
England,Portsmouth 006A,PO62QQ,PO62
England,Portsmouth 006D,PO62RN,PO62
England,Portsmouth 006A,PO62QL,PO62
England,Portsmouth 003A,PO62QA,PO62
England,Portsmouth 006B,PO62LW,PO62
England,Portsmouth 003C,PO62JL,PO62
England,Portsmouth 006C,PO62ST,PO62
England,Portsmouth 006C,PO62TR,PO62
England,Portsmouth 006E,PO62NY,PO62
England,Portsmouth 003C,PO62BT,PO62
England,Portsmouth 003D,PO62AR,PO62
England,Portsmouth 006B,PO62PR,PO62
England,Portsmouth 003D,PO62JT,PO62
England,Portsmouth 006C,PO62RH,PO62
England,Portsmouth 006B,PO62PP,PO62
England,Portsmouth 006E,PO62LZ,PO62
England,Portsmouth 006E,PO62LH,PO62
England,Portsmouth 003D,PO62JE,PO62
England,Portsmouth 006A,PO62QJ,PO62
England,Portsmouth 006E,PO62HP,PO62
England,Portsmouth 003D,PO62JX,PO62
England,Portsmouth 006B,PO62TL,PO62
England,Portsmouth 003C,PO62BU,PO62
England,Portsmouth 006A,PO62QG,PO62
England,Portsmouth 003C,PO62AG,PO62
England,Portsmouth 003C,PO62AN,PO62
England,Portsmouth 006A,PO62TJ,PO62
England,Portsmouth 006D,PO62BZ,PO62
England,Portsmouth 003C,PO62BH,PO62
England,Portsmouth 003C,PO62BJ,PO62
England,Portsmouth 003A,PO62DJ,PO62
England,Portsmouth 006E,PO62LJ,PO62
England,Portsmouth 003A,PO62DL,PO62
England,Portsmouth 006B,PO62PT,PO62
England,Portsmouth 003D,PO62HB,PO62
England,Portsmouth 003D,PO62AT,PO62
England,Portsmouth 002A,PO62QW,PO62
England,Portsmouth 006D,PO62RW,PO62
England,Portsmouth 002A,PO62AE,PO62
England,Portsmouth 006A,PO62QB,PO62
England,Portsmouth 003A,PO62JZ,PO62
England,Portsmouth 006C,PO62SU,PO62
England,Portsmouth 006B,PO62LP,PO62
England,Portsmouth 004A,PO62SZ,PO62
England,Portsmouth 006E,PO62NU,PO62
England,Portsmouth 006D,PO62UN,PO62
England,Portsmouth 006B,PO62PZ,PO62
England,Portsmouth 003D,PO62HA,PO62
England,Portsmouth 026A,PO62HT,PO62
England,Portsmouth 003D,PO62HH,PO62
England,Portsmouth 006B,PO62QT,PO62
England,Portsmouth 006E,PO62NJ,PO62
England,Portsmouth 003C,PO62BL,PO62
England,Portsmouth 002A,PO62QN,PO62
England,Portsmouth 026A,PO62ER,PO62
England,Portsmouth 003D,PO62HN,PO62
England,Portsmouth 003D,PO62EJ,PO62
England,Portsmouth 004A,PO62SS,PO62
England,Portsmouth 006A,PO62PD,PO62
England,Portsmouth 003D,PO62LQ,PO62
England,Portsmouth 003C,PO62AW,PO62
England,Portsmouth 003C,PO62JW,PO62
England,Portsmouth 003D,PO62AP,PO62
England,Portsmouth 006D,PO62TW,PO62
England,Portsmouth 002A,PO62QD,PO62
England,Portsmouth 003C,PO62JD,PO62
England,Portsmouth 006A,PO62QR,PO62
England,Portsmouth 002A,PO62AY,PO62
England,Portsmouth 003D,PO62LU,PO62
England,Portsmouth 006A,PO62PE,PO62
England,Portsmouth 003D,PO62AS,PO62
England,Portsmouth 006E,PO62NA,PO62
England,Portsmouth 003C,PO62BP,PO62
England,Portsmouth 006B,PO62PN,PO62
England,Portsmouth 003C,PO62EA,PO62
England,Portsmouth 003C,PO62DZ,PO62
England,Portsmouth 003D,PO62HJ,PO62
England,Portsmouth 006D,PO62RX,PO62
England,Portsmouth 006E,PO62NZ,PO62
England,Portsmouth 003D,PO62NX,PO62
England,Portsmouth 006D,PO62TN,PO62
England,Portsmouth 003D,PO62AU,PO62
England,Portsmouth 006C,PO62UG,PO62
England,Portsmouth 006D,PO62UW,PO62
England,Portsmouth 003C,PO62JP,PO62
England,Portsmouth 006E,PO62NT,PO62
England,Portsmouth 003D,PO62AX,PO62
England,Portsmouth 003D,PO62AH,PO62
England,Portsmouth 003D,PO62JU,PO62
England,Portsmouth 006B,PO62PU,PO62
England,Portsmouth 004A,PO62SJ,PO62
England,Portsmouth 006D,PO62RU,PO62
England,Portsmouth 003A,PO62QZ,PO62
England,Portsmouth 006B,PO62LR,PO62
England,Portsmouth 004A,PO62XJ,PO62
England,Portsmouth 006E,PO62LF,PO62
England,Portsmouth 003C,PO62BS,PO62
England,Portsmouth 006E,PO62ND,PO62
England,Portsmouth 004A,PO62TH,PO62
England,Portsmouth 003D,PO62LG,PO62
England,Portsmouth 003D,PO62EH,PO62
