Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Sefton 001E,PR99RD,PR99
England,Sefton 003D,PR99LR,PR99
England,Sefton 003A,PR99HD,PR99
England,Sefton 001C,PR99YP,PR99
England,Sefton 008F,PR99WH,PR99
England,Sefton 002A,PR99TA,PR99
England,Sefton 008F,PR99WN,PR99
England,Sefton 002D,PR99ST,PR99
England,Sefton 002A,PR99TX,PR99
England,Sefton 001A,PR99GL,PR99
England,Sefton 003D,PR99LF,PR99
England,Sefton 001E,PR99RA,PR99
England,Sefton 004A,PR99HH,PR99
England,Sefton 003D,PR99DP,PR99
England,Sefton 003C,PR99NS,PR99
England,Sefton 002D,PR99UB,PR99
England,Sefton 001A,PR99UQ,PR99
England,Sefton 003B,PR99NX,PR99
England,Sefton 008F,PR99ZN,PR99
England,Sefton 003A,PR99EZ,PR99
England,Sefton 004A,PR99BG,PR99
England,Sefton 002D,PR99UA,PR99
England,Sefton 008F,PR99WU,PR99
England,Sefton 001E,PR99SL,PR99
England,Sefton 001E,PR99FU,PR99
England,Sefton 001A,PR99XJ,PR99
England,Sefton 003C,PR99NQ,PR99
England,Sefton 001A,PR99XT,PR99
England,Sefton 008F,PR99WZ,PR99
England,Sefton 003B,PR99QH,PR99
England,Sefton 001A,PR99GJ,PR99
England,Sefton 001C,PR99YT,PR99
England,Sefton 004A,PR99HE,PR99
England,Sefton 008F,PR99DD,PR99
England,Sefton 002A,PR99QU,PR99
England,Sefton 001A,PR99XL,PR99
England,Sefton 004D,PR99BJ,PR99
England,Sefton 004A,PR99ET,PR99
England,Sefton 006A,PR99DA,PR99
England,Sefton 001A,PR99UW,PR99
England,Sefton 002A,PR99TB,PR99
England,Sefton 002A,PR99QS,PR99
England,Sefton 006A,PR99AP,PR99
England,Sefton 001C,PR99YJ,PR99
England,Sefton 001A,PR99XW,PR99
England,Sefton 003D,PR99JR,PR99
England,Sefton 002C,PR99NA,PR99
England,Sefton 003D,PR99JJ,PR99
England,Sefton 004A,PR99ES,PR99
England,Sefton 001A,PR99UF,PR99
England,Sefton 002D,PR99TZ,PR99
England,Sefton 003C,PR99PB,PR99
England,Sefton 001E,PR99XZ,PR99
England,Sefton 006E,PR99DY,PR99
England,Sefton 003A,PR99LQ,PR99
England,Sefton 001E,PR99XY,PR99
England,Sefton 003E,PR99PF,PR99
England,Sefton 006E,PR99DU,PR99
England,Sefton 002D,PR99DQ,PR99
England,Sefton 008F,PR99ZL,PR99
England,Sefton 003B,PR99QD,PR99
England,Sefton 003E,PR99PG,PR99
England,Sefton 001E,PR99TS,PR99
England,Sefton 003B,PR99QR,PR99
England,Sefton 008F,PR99GX,PR99
England,Sefton 002A,PR99QG,PR99
England,Sefton 004A,PR99BN,PR99
England,Sefton 001E,PR99FB,PR99
England,Sefton 003D,PR99EF,PR99
England,Sefton 004A,PR99HX,PR99
England,Sefton 003A,PR99BF,PR99
England,Sefton 004D,PR99BL,PR99
England,Sefton 006A,PR99AG,PR99
England,Sefton 001E,PR99TT,PR99
England,Sefton 001C,PR99YU,PR99
England,Sefton 003B,PR99QW,PR99
England,Sefton 001C,PR99YY,PR99
England,Sefton 004A,PR99BW,PR99
England,Sefton 001E,PR99FA,PR99
England,Sefton 002A,PR99RL,PR99
England,Sefton 003D,PR99RG,PR99
England,Sefton 003B,PR99TF,PR99
England,Sefton 003D,PR99LS,PR99
England,Sefton 002D,PR99SU,PR99
England,Sefton 004A,PR99EU,PR99
England,Sefton 001A,PR99XN,PR99
England,Sefton 004D,PR99BP,PR99
England,Sefton 006A,PR99BT,PR99
England,Sefton 001C,PR99YX,PR99
England,Sefton 003C,PR99PR,PR99
England,Sefton 001C,PR99RQ,PR99
England,Sefton 006E,PR99AE,PR99
England,Sefton 002A,PR99UG,PR99
England,Sefton 003C,PR99QQ,PR99
England,Sefton 006A,PR99BY,PR99
England,Sefton 006E,PR99AB,PR99
England,Sefton 002A,PR99TJ,PR99
England,Sefton 003D,PR99JP,PR99
England,Sefton 006E,PR99DX,PR99
England,Sefton 003B,PR99QF,PR99
England,Sefton 004G,PR99BA,PR99
England,Sefton 004A,PR99HL,PR99
England,Sefton 002D,PR99TG,PR99
England,Sefton 004G,PR99HQ,PR99
England,Sefton 003A,PR99JB,PR99
England,Sefton 003C,PR99PD,PR99
England,Sefton 003D,PR99EE,PR99
England,Sefton 002C,PR99RZ,PR99
England,Sefton 006A,PR99DL,PR99
England,Sefton 003D,PR99LE,PR99
England,Sefton 001E,PR99RU,PR99
England,Sefton 001C,PR99LY,PR99
England,Sefton 001C,PR99TP,PR99
England,Sefton 008F,PR99WR,PR99
England,Sefton 003C,PR99SA,PR99
England,Sefton 003C,PR99NE,PR99
England,Sefton 001E,PR99YL,PR99
England,Sefton 003B,PR99QX,PR99
England,Sefton 003D,PR99NB,PR99
England,Sefton 003B,PR99NU,PR99
England,Sefton 001A,PR99GD,PR99
England,Sefton 003B,PR99FY,PR99
England,Sefton 006A,PR99AJ,PR99
England,Sefton 003B,PR99PL,PR99
England,Sefton 001E,PR99UT,PR99
England,Sefton 003B,PR99SZ,PR99
England,Sefton 001A,PR99GB,PR99
England,Sefton 001E,PR99RT,PR99
England,Sefton 003C,PR99LH,PR99
England,Sefton 001C,PR99YB,PR99
England,Sefton 006A,PR99BZ,PR99
England,Sefton 003B,PR99WL,PR99
England,Sefton 004A,PR99HA,PR99
England,Sefton 001E,PR99RX,PR99
England,Sefton 001A,PR99GP,PR99
England,Sefton 003C,PR99LP,PR99
England,Sefton 002A,PR99RS,PR99
England,Sefton 004A,PR99EX,PR99
England,Sefton 003B,PR99QY,PR99
England,Sefton 006E,PR99BH,PR99
England,Sefton 003C,PR99SG,PR99
England,Sefton 001C,PR99YH,PR99
England,Sefton 003B,PR99TN,PR99
England,Sefton 001C,PR99FD,PR99
England,Sefton 001A,PR99GE,PR99
England,Sefton 002D,PR99SH,PR99
England,Sefton 003A,PR99LA,PR99
England,Sefton 002D,PR99SS,PR99
England,Sefton 003E,PR99RH,PR99
England,Sefton 003A,PR99JE,PR99
England,Sefton 002C,PR99SD,PR99
England,Sefton 003D,PR99EG,PR99
England,Sefton 003C,PR99NG,PR99
England,Sefton 003B,PR99TE,PR99
England,Sefton 001C,PR99UY,PR99
England,Sefton 001E,PR99RB,PR99
England,Sefton 006A,PR99AQ,PR99
England,Sefton 003E,PR99PE,PR99
England,Sefton 001C,PR99UU,PR99
England,Sefton 003B,PR99NT,PR99
England,Sefton 003D,PR99NP,PR99
England,Sefton 003D,PR99ND,PR99
England,Sefton 003B,PR99NY,PR99
