Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,West Berkshire 011A,RG78DN,RG78
England,West Berkshire 011A,RG78PN,RG78
England,West Berkshire 011A,RG78SN,RG78
England,West Berkshire 011A,RG78DA,RG78
England,West Berkshire 011A,RG78TA,RG78
England,West Berkshire 011A,RG78PA,RG78
England,West Berkshire 011A,RG78EA,RG78
England,West Berkshire 011A,RG78LA,RG78
England,West Berkshire 011A,RG78NE,RG78
England,West Berkshire 011A,RG78UB,RG78
England,West Berkshire 011A,RG78SA,RG78
England,West Berkshire 011A,RG78JA,RG78
England,West Berkshire 011A,RG78NA,RG78
England,West Berkshire 011A,RG78LN,RG78
England,West Berkshire 011A,RG78HN,RG78
England,West Berkshire 011A,RG78EN,RG78
England,West Berkshire 011A,RG78AR,RG78
England,West Berkshire 011A,RG78AP,RG78
England,West Berkshire 011A,RG78RN,RG78
England,West Berkshire 011A,RG78PD,RG78
England,West Berkshire 011A,RG78RA,RG78
England,West Berkshire 011A,RG78AA,RG78
England,West Berkshire 011A,RG78UA,RG78
England,West Berkshire 011A,RG78JN,RG78
England,West Berkshire 011A,RG78PB,RG78
England,West Berkshire 011A,RG78AN,RG78
England,West Berkshire 011A,RG78NN,RG78
England,West Berkshire 011A,RG78TN,RG78
England,West Berkshire 011A,RG78HA,RG78
