Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Thurrock 013C,RM188RD,RM18
England,Thurrock 018F,RM188HW,RM18
England,Thurrock 018B,RM187PT,RM18
England,Thurrock 018A,RM187NN,RM18
England,Thurrock 018E,RM188HD,RM18
England,Thurrock 018C,RM188AL,RM18
England,Thurrock 018D,RM187NX,RM18
England,Thurrock 013C,RM188RX,RM18
England,Thurrock 018E,RM188ET,RM18
England,Thurrock 018C,RM188DJ,RM18
England,Thurrock 013C,RM188PP,RM18
England,Thurrock 018C,RM188EW,RM18
England,Thurrock 018A,RM187NU,RM18
England,Thurrock 018E,RM188LJ,RM18
England,Thurrock 018A,RM187ET,RM18
England,Thurrock 013B,RM188SS,RM18
England,Thurrock 013C,RM188RW,RM18
England,Thurrock 018A,RM187NL,RM18
England,Thurrock 018A,RM187PH,RM18
England,Thurrock 018B,RM188DF,RM18
England,Thurrock 018A,RM187AP,RM18
England,Thurrock 018C,RM188DE,RM18
England,Thurrock 018B,RM187DU,RM18
England,Thurrock 018F,RM188JR,RM18
England,Thurrock 018C,RM188BS,RM18
England,Thurrock 018G,RM188XL,RM18
England,Thurrock 018B,RM188AA,RM18
England,Thurrock 013C,RM188PQ,RM18
England,Thurrock 018F,RM188JS,RM18
England,Thurrock 018A,RM187HW,RM18
England,Thurrock 018E,RM188EX,RM18
England,Thurrock 018B,RM187PR,RM18
England,Thurrock 018G,RM188ER,RM18
England,Thurrock 018E,RM187RU,RM18
England,Thurrock 018B,RM188UL,RM18
England,Thurrock 018A,RM187AE,RM18
England,Thurrock 018F,RM188HF,RM18
England,Thurrock 013D,RM188TR,RM18
England,Thurrock 016B,RM188BN,RM18
England,Thurrock 018D,RM187BW,RM18
England,Thurrock 018B,RM188EA,RM18
England,Thurrock 018G,RM188HR,RM18
England,Thurrock 018B,RM188YH,RM18
England,Thurrock 013A,RM188TB,RM18
England,Thurrock 018C,RM188DD,RM18
England,Thurrock 018F,RM188HX,RM18
England,Thurrock 018C,RM188EF,RM18
England,Thurrock 018D,RM187BA,RM18
England,Thurrock 018C,RM188BL,RM18
England,Thurrock 018H,RM188LR,RM18
England,Thurrock 013D,RM188QX,RM18
England,Thurrock 018B,RM188AD,RM18
England,Thurrock 018E,RM188NP,RM18
England,Thurrock 013C,RM188PA,RM18
England,Thurrock 018A,RM187BU,RM18
England,Thurrock 018D,RM187AU,RM18
England,Thurrock 018A,RM187HB,RM18
England,Thurrock 018H,RM188ES,RM18
England,Thurrock 018B,RM188EL,RM18
England,Thurrock 013B,RM188ST,RM18
England,Thurrock 018E,RM188NG,RM18
England,Thurrock 013D,RM188TU,RM18
England,Thurrock 018E,RM188LL,RM18
England,Thurrock 016B,RM188WH,RM18
