Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Sheffield 039B,S21JG,S21J
England,Sheffield 039B,S21JS,S21J
England,Sheffield 039C,S21JJ,S21J
England,Sheffield 039C,S21JB,S21J
England,Sheffield 039B,S21JL,S21J
England,Sheffield 039C,S21JW,S21J
England,Sheffield 039B,S21JF,S21J
England,Sheffield 039B,S21JD,S21J
England,Sheffield 039B,S21JE,S21J
England,Sheffield 039C,S21JY,S21J
England,Sheffield 039C,S21JX,S21J
England,Sheffield 039B,S21JP,S21J
England,Sheffield 039C,S21JZ,S21J
England,Sheffield 039B,S21JN,S21J
