Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Sheffield 039A,S21QP,S21Q
England,Sheffield 039F,S21QA,S21Q
England,Sheffield 039E,S21QX,S21Q
England,Sheffield 039F,S21QU,S21Q
England,Sheffield 039F,S21QN,S21Q
England,Sheffield 039B,S21QQ,S21Q
England,Sheffield 039F,S21QZ,S21Q
England,Sheffield 039A,S21QF,S21Q
England,Sheffield 039F,S21QT,S21Q
England,Sheffield 039F,S21QW,S21Q
England,Sheffield 039F,S21QR,S21Q
England,Sheffield 039F,S21QY,S21Q
England,Sheffield 039B,S21QB,S21Q
England,Sheffield 039F,S21QS,S21Q
England,Sheffield 039A,S21QJ,S21Q
