Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Sheffield 019A,S39AB,S39A
England,Sheffield 019A,S39AH,S39A
England,Sheffield 019A,S39AU,S39A
England,Sheffield 019B,S39AL,S39A
England,Sheffield 019A,S39AJ,S39A
England,Sheffield 019A,S39AW,S39A
England,Sheffield 019A,S39AQ,S39A
England,Sheffield 019A,S39AE,S39A
England,Sheffield 019A,S39AP,S39A
England,Sheffield 019A,S39AY,S39A
England,Sheffield 019A,S39AT,S39A
England,Sheffield 019A,S39AA,S39A
England,Sheffield 019B,S39AD,S39A
England,Sheffield 019B,S39AF,S39A
England,Sheffield 019A,S39AS,S39A
England,Sheffield 019A,S39AG,S39A
England,Sheffield 019A,S39AN,S39A
England,Sheffield 019A,S39AZ,S39A
