Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Sheffield 019B,S58XF,S58X
England,Sheffield 019B,S58XX,S58X
England,Sheffield 019C,S58XJ,S58X
England,Sheffield 019A,S58XA,S58X
England,Sheffield 019B,S58XS,S58X
England,Sheffield 019C,S58XP,S58X
England,Sheffield 019C,S58XN,S58X
England,Sheffield 019B,S58XT,S58X
England,Sheffield 019C,S58XL,S58X
England,Sheffield 019B,S58XU,S58X
England,Sheffield 019C,S58XG,S58X
England,Sheffield 019C,S58XH,S58X
England,Sheffield 019B,S58XY,S58X
England,Sheffield 019B,S58XR,S58X
England,Sheffield 019A,S58XQ,S58X
England,Sheffield 019B,S58XB,S58X
England,Sheffield 019B,S58XD,S58X
England,Sheffield 019B,S58XE,S58X
England,Sheffield 019B,S58XW,S58X
