Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Rotherham 023B,S603AZ,S603
England,Rotherham 023E,S603LR,S603
England,Rotherham 023B,S603BY,S603
England,Rotherham 023E,S603LW,S603
England,Rotherham 023F,S603JP,S603
England,Rotherham 021D,S603EQ,S603
England,Rotherham 023B,S603EB,S603
England,Rotherham 023B,S603DP,S603
England,Rotherham 023E,S603LG,S603
England,Rotherham 023E,S603LD,S603
England,Rotherham 023B,S603BP,S603
England,Rotherham 023C,S603AA,S603
England,Rotherham 023C,S603EW,S603
England,Rotherham 023B,S603BT,S603
England,Rotherham 023B,S603RB,S603
England,Rotherham 023C,S603AW,S603
England,Rotherham 023F,S603LZ,S603
England,Rotherham 023F,S603LU,S603
England,Rotherham 023B,S603DB,S603
England,Rotherham 023B,S603BW,S603
England,Rotherham 023B,S603DJ,S603
England,Rotherham 023E,S603HH,S603
England,Rotherham 023E,S603LP,S603
England,Rotherham 023E,S603HD,S603
England,Rotherham 023E,S603AR,S603
England,Rotherham 023B,S603DR,S603
England,Rotherham 023B,S603DS,S603
England,Rotherham 023F,S603NA,S603
England,Rotherham 023F,S603AU,S603
England,Rotherham 021D,S603PB,S603
England,Rotherham 021A,S603PP,S603
England,Rotherham 023F,S603JW,S603
England,Rotherham 023B,S603EG,S603
England,Rotherham 023E,S603HP,S603
England,Rotherham 023B,S603EH,S603
England,Rotherham 023F,S603JQ,S603
England,Rotherham 023E,S603HF,S603
England,Rotherham 023C,S603HA,S603
England,Rotherham 023E,S603AP,S603
England,Rotherham 021A,S603NY,S603
England,Rotherham 023E,S603EP,S603
England,Rotherham 023E,S603LE,S603
England,Rotherham 023B,S603DF,S603
England,Rotherham 023F,S603HZ,S603
England,Rotherham 023E,S603LN,S603
England,Rotherham 023F,S603JA,S603
England,Rotherham 023C,S603EZ,S603
England,Rotherham 023B,S603DD,S603
England,Rotherham 023B,S603BE,S603
England,Rotherham 023C,S603ER,S603
England,Rotherham 023C,S603PJ,S603
England,Rotherham 023F,S603BB,S603
England,Rotherham 021D,S603NN,S603
England,Rotherham 023C,S603AD,S603
England,Rotherham 023B,S603DQ,S603
England,Rotherham 023F,S603JJ,S603
England,Rotherham 023C,S603EY,S603
England,Rotherham 023F,S603LT,S603
England,Rotherham 023B,S603DU,S603
England,Rotherham 023F,S603JL,S603
England,Rotherham 023E,S603NH,S603
England,Rotherham 023E,S603LF,S603
England,Rotherham 023C,S603HB,S603
England,Rotherham 023F,S603JE,S603
England,Rotherham 023B,S603BU,S603
England,Rotherham 023B,S603DE,S603
England,Rotherham 023F,S603LL,S603
England,Rotherham 023E,S603HR,S603
England,Rotherham 023F,S603JH,S603
England,Rotherham 023E,S603EN,S603
England,Rotherham 021D,S603JY,S603
England,Rotherham 023F,S603BJ,S603
England,Rotherham 023C,S603EL,S603
England,Rotherham 021D,S603NR,S603
England,Rotherham 023B,S603EF,S603
England,Rotherham 023B,S603RA,S603
England,Rotherham 021D,S603NT,S603
England,Rotherham 021A,S603NU,S603
England,Rotherham 023F,S603JN,S603
England,Rotherham 023F,S603JD,S603
England,Rotherham 023B,S603DN,S603
England,Rotherham 023E,S603HL,S603
England,Rotherham 021D,S603PA,S603
England,Rotherham 023F,S603BF,S603
England,Rotherham 023F,S603AL,S603
