Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Sheffield 024A,S63RS,S63R
England,Sheffield 024A,S63RJ,S63R
England,Sheffield 024A,S63RQ,S63R
England,Sheffield 024D,S63RG,S63R
England,Sheffield 024A,S63RU,S63R
England,Sheffield 024D,S63RF,S63R
England,Sheffield 024A,S63RL,S63R
England,Sheffield 030E,S63RZ,S63R
England,Sheffield 030E,S63RT,S63R
England,Sheffield 024A,S63RN,S63R
England,Sheffield 024A,S63RH,S63R
England,Sheffield 030E,S63RW,S63R
England,Sheffield 024A,S63RX,S63R
England,Sheffield 024A,S63RP,S63R
England,Sheffield 024D,S63RR,S63R
