Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Sheffield 025C,S65GL,S65G
England,Sheffield 025C,S65GE,S65G
England,Sheffield 025C,S65GA,S65G
England,Sheffield 025C,S65GR,S65G
England,Sheffield 025C,S65GQ,S65G
England,Sheffield 025C,S65GF,S65G
England,Sheffield 025C,S65GP,S65G
England,Sheffield 025C,S65GD,S65G
England,Sheffield 025C,S65GN,S65G
England,Sheffield 025C,S65GB,S65G
England,Sheffield 025C,S65GJ,S65G
England,Sheffield 025C,S65GG,S65G
England,Sheffield 025C,S65GH,S65G
