Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Sheffield 023C,S65LR,S65L
England,Sheffield 025A,S65LA,S65L
England,Sheffield 025A,S65LU,S65L
England,Sheffield 025A,S65LL,S65L
England,Sheffield 025A,S65LH,S65L
England,Sheffield 025A,S65LB,S65L
England,Sheffield 025B,S65LS,S65L
England,Sheffield 025B,S65LW,S65L
England,Sheffield 025A,S65LN,S65L
England,Sheffield 025A,S65LJ,S65L
England,Sheffield 025A,S65LG,S65L
England,Sheffield 025A,S65LE,S65L
England,Sheffield 025B,S65LT,S65L
England,Sheffield 023E,S65LY,S65L
England,Sheffield 025A,S65LP,S65L
England,Sheffield 025A,S65LQ,S65L
England,Sheffield 025B,S65LX,S65L
England,Sheffield 025A,S65LF,S65L
England,Sheffield 025A,S65LD,S65L
