Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Sheffield 070A,S88DY,S88D
England,Sheffield 070B,S88DJ,S88D
England,Sheffield 070A,S88DZ,S88D
England,Sheffield 070B,S88DX,S88D
England,Sheffield 070A,S88DG,S88D
England,Sheffield 070A,S88DW,S88D
England,Sheffield 070A,S88DF,S88D
England,Sheffield 070B,S88DQ,S88D
England,Sheffield 070B,S88DN,S88D
England,Sheffield 070A,S88DE,S88D
England,Sheffield 070A,S88DB,S88D
England,Sheffield 070A,S88DU,S88D
England,Sheffield 070B,S88DR,S88D
England,Sheffield 070A,S88DH,S88D
England,Sheffield 070A,S88DA,S88D
England,Sheffield 070A,S88DD,S88D
England,Sheffield 070B,S88DT,S88D
England,Sheffield 070B,S88DS,S88D
