Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
Wales,Swansea 009F,SA991AP,SA99
Wales,Swansea 009F,SA991ZX,SA99
Wales,Swansea 009F,SA991BD,SA99
Wales,Swansea 009F,SA991TU,SA99
Wales,Swansea 009F,SA991DG,SA99
Wales,Swansea 009F,SA991ZW,SA99
Wales,Swansea 009F,SA991AA,SA99
Wales,Swansea 009F,SA991BA,SA99
Wales,Swansea 009F,SA991AF,SA99
Wales,Swansea 009F,SA991BL,SA99
Wales,Swansea 009F,SA991ST,SA99
Wales,Swansea 009F,SA991DZ,SA99
Wales,Swansea 009F,SA991AY,SA99
Wales,Swansea 009F,SA991BJ,SA99
Wales,Swansea 009F,SA991AW,SA99
Wales,Swansea 009F,SA991ZZ,SA99
Wales,Swansea 009F,SA991AU,SA99
Wales,Swansea 009F,SA991DP,SA99
Wales,Swansea 009F,SA991DD,SA99
Wales,Swansea 009F,SA991BP,SA99
Wales,Swansea 009F,SA991BE,SA99
Wales,Swansea 009F,SA991AX,SA99
Wales,Swansea 009F,SA991BF,SA99
Wales,Swansea 009F,SA991ZA,SA99
Wales,Swansea 009F,SA991AD,SA99
Wales,Swansea 009F,SA991DJ,SA99
Wales,Swansea 009F,SA991AH,SA99
Wales,Swansea 009F,SA991BT,SA99
Wales,Swansea 009F,SA991BR,SA99
Wales,Swansea 009F,SA991DR,SA99
Wales,Swansea 009F,SA991BY,SA99
Wales,Swansea 009F,SA991DH,SA99
Wales,Swansea 009F,SA991AB,SA99
Wales,Swansea 009F,SA991BX,SA99
Wales,Swansea 009F,SA991DX,SA99
Wales,Swansea 009F,SA991BB,SA99
Wales,Swansea 009F,SA991DB,SA99
Wales,Swansea 009F,SA991BW,SA99
Wales,Swansea 009F,SA991AJ,SA99
Wales,Swansea 009F,SA991BN,SA99
Wales,Swansea 009F,SA991DW,SA99
Wales,Swansea 009F,SA991ZB,SA99
Wales,Swansea 009F,SA991BU,SA99
Wales,Swansea 009F,SA991AR,SA99
Wales,Swansea 009F,SA991DY,SA99
Wales,Swansea 009F,SA991DQ,SA99
Wales,Swansea 009F,SA991DS,SA99
Wales,Swansea 009F,SA991AN,SA99
Wales,Swansea 009F,SA991AE,SA99
Wales,Swansea 009F,SA991YW,SA99
Wales,Swansea 009F,SA991YX,SA99
Wales,Swansea 009F,SA991DF,SA99
Wales,Swansea 009F,SA991AL,SA99
Wales,Swansea 009F,SA991DN,SA99
Wales,Swansea 009F,SA991DT,SA99
Wales,Swansea 009F,SA991AQ,SA99
Wales,Swansea 009F,SA991AG,SA99
Wales,Swansea 009F,SA991BG,SA99
Wales,Swansea 009F,SA991DA,SA99
Wales,Swansea 009F,SA991DL,SA99
Wales,Swansea 009F,SA991DU,SA99
Wales,Swansea 009F,SA991AT,SA99
Wales,Swansea 009F,SA991BS,SA99
