Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Southwark 003I,SE13XW,SE13
England,Lewisham 017E,SE136UG,SE13
England,Southwark 003A,SE13GN,SE13
England,Lewisham 011B,SE137TP,SE13
England,Lewisham 017F,SE136RN,SE13
England,Lewisham 014B,SE137XJ,SE13
England,Lewisham 011D,SE137AW,SE13
England,Lewisham 007B,SE137PS,SE13
England,Southwark 006E,SE13BH,SE13
England,Lewisham 012D,SE136QY,SE13
England,Lewisham 012F,SE135EY,SE13
England,Lewisham 012E,SE137FT,SE13
England,Southwark 003J,SE13ER,SE13
England,Lewisham 016D,SE135LX,SE13
England,Lewisham 012C,SE136HA,SE13
England,Lewisham 012C,SE136RW,SE13
England,Lewisham 007B,SE135AG,SE13
England,Lewisham 012G,SE136JZ,SE13
England,Lewisham 017D,SE136SX,SE13
England,Southwark 003I,SE13UT,SE13
England,Southwark 003A,SE13PH,SE13
England,Southwark 004A,SE13EQ,SE13
England,Southwark 003I,SE13LL,SE13
England,Lewisham 012E,SE137EU,SE13
England,Southwark 003A,SE13LZ,SE13
England,Lewisham 012E,SE135JJ,SE13
England,Lewisham 013C,SE135QQ,SE13
England,Lewisham 012F,SE135LF,SE13
England,Southwark 003I,SE13XB,SE13
England,Southwark 003J,SE13BP,SE13
England,Southwark 003J,SE13EN,SE13
England,Greenwich 038A,SE137RN,SE13
England,Southwark 006F,SE13ST,SE13
England,Southwark 003A,SE13FF,SE13
England,Lewisham 012A,SE135PT,SE13
England,Lewisham 011D,SE137JB,SE13
England,Lewisham 009D,SE135SG,SE13
England,Lewisham 012F,SE136AA,SE13
England,Lewisham 017A,SE136UH,SE13
England,Lewisham 013A,SE135QH,SE13
England,Lewisham 012A,SE135EN,SE13
England,Lewisham 017D,SE136SU,SE13
England,Greenwich 038A,SE137RF,SE13
England,Lewisham 011C,SE137SN,SE13
England,Lewisham 012E,SE137FH,SE13
England,Lewisham 017A,SE136EH,SE13
England,Southwark 004B,SE13DY,SE13
England,Lewisham 009A,SE135DJ,SE13
England,Southwark 003I,SE13LE,SE13
England,Lewisham 016D,SE135LT,SE13
England,Lewisham 012C,SE136PP,SE13
England,Lewisham 013C,SE135QY,SE13
England,Lewisham 011B,SE137UA,SE13
England,Lewisham 007A,SE135BA,SE13
England,Lewisham 011C,SE137TD,SE13
England,Lewisham 014B,SE137AH,SE13
England,Lewisham 011C,SE137SR,SE13
England,Lewisham 017B,SE136HJ,SE13
England,Lewisham 011D,SE137AE,SE13
England,Lewisham 013A,SE135PL,SE13
England,Lewisham 011D,SE137AP,SE13
England,Lewisham 012C,SE136JB,SE13
England,Lewisham 007B,SE135AQ,SE13
England,Lewisham 008F,SE137RT,SE13
England,Southwark 004B,SE13AH,SE13
England,Lewisham 009D,SE135DS,SE13
England,Lewisham 012E,SE137GS,SE13
England,Lewisham 012E,SE137BN,SE13
England,Lewisham 007E,SE137DU,SE13
England,Southwark 003I,SE13LF,SE13
England,Lewisham 013B,SE135SX,SE13
England,Lewisham 007D,SE137QN,SE13
England,Lewisham 007A,SE135DR,SE13
England,Southwark 003A,SE13FS,SE13
England,Southwark 003J,SE13XH,SE13
England,Lewisham 013A,SE135EZ,SE13
England,Lewisham 007B,SE135AR,SE13
England,Southwark 004B,SE13AZ,SE13
England,Lewisham 012E,SE137GT,SE13
England,Southwark 003I,SE13UB,SE13
England,Southwark 003J,SE13RN,SE13
England,Lewisham 012G,SE136DF,SE13
England,Lewisham 014C,SE137XF,SE13
England,Lewisham 012C,SE136PS,SE13
England,Lewisham 017D,SE136SY,SE13
England,Lewisham 012A,SE135EG,SE13
England,Southwark 006F,SE13SU,SE13
England,Greenwich 038A,SE137RE,SE13
England,Lewisham 012D,SE136LH,SE13
England,Lewisham 017F,SE136SR,SE13
England,Lewisham 017A,SE136HR,SE13
England,Southwark 004B,SE13FL,SE13
